# {'date': u'2018_mar_08_1046', 'frameRate': 99.785578025649954, 'expName': u'RNGT_HDtDCS', u'session': u'stimulation', u'participant': u'006'}
subj,trial,time,stimulus,response
006,0,0.0001454718,stimulus,
006,0,0.3565443427,tap,rctrl
006,1,0.7501698736,stimulus,
006,1,0.8682331549,tap,lctrl
006,2,1.5002052648,stimulus,
006,2,1.5723248916,tap,rctrl
006,3,2.2502506318,stimulus,
006,3,2.2607735518,tap,rctrl
006,4,3.0002974093,stimulus,
006,4,3.0126968735,tap,lctrl
006,4,3.6845537114,tap,rctrl
006,5,3.7503534739,stimulus,
006,5,4.3730212947,tap,rctrl
006,6,4.5003975326,stimulus,
006,6,5.1562147878,tap,lctrl
006,7,5.2504436304,stimulus,
006,7,5.9403470327,tap,rctrl
006,8,6.0005088377,stimulus,
006,8,6.6766735569,tap,lctrl
006,9,6.7505527220,stimulus,
006,9,7.3807420278,tap,lctrl
006,10,7.5006087264,stimulus,
006,11,8.2506504363,stimulus,
006,11,8.2606011532,tap,lctrl
006,11,8.9647264473,tap,rctrl
006,12,9.0006910966,stimulus,
006,12,9.6687372799,tap,rctrl
006,13,9.7507336516,stimulus,
006,13,10.4041229681,tap,rctrl
006,14,10.5007994995,stimulus,
006,14,11.1726161966,tap,rctrl
006,15,11.2508482920,stimulus,
006,15,11.8923346131,tap,lctrl
006,16,12.0008898154,stimulus,
006,16,12.5964067741,tap,lctrl
006,17,12.7509443341,stimulus,
006,17,13.3805585887,tap,lctrl
006,18,13.5010023897,stimulus,
006,18,14.1324833901,tap,rctrl
006,19,14.2510606196,stimulus,
006,19,14.9967334324,tap,rctrl
006,20,15.0011192646,stimulus,
006,20,15.7320720897,tap,rctrl
006,21,15.7511838013,stimulus,
006,21,16.4527701658,tap,lctrl
006,22,16.5012482718,stimulus,
006,23,17.2513051063,stimulus,
006,23,17.2847459655,tap,lctrl
006,23,17.9878465150,tap,lctrl
006,24,18.0013373336,stimulus,
006,24,18.7085270875,tap,rctrl
006,25,18.7513855667,stimulus,
006,25,19.4760858288,tap,rctrl
006,26,19.5014236345,stimulus,
006,26,20.2280184797,tap,rctrl
006,27,20.2514618858,stimulus,
006,27,20.8998559073,tap,rctrl
006,28,21.0015255653,stimulus,
006,28,21.5882984383,tap,rctrl
006,29,21.7515893140,stimulus,
006,29,22.4203150013,tap,rctrl
006,30,22.5016780518,stimulus,
006,30,23.2357525029,tap,lctrl
006,31,23.2517192384,stimulus,
006,31,23.9886405731,tap,lctrl
006,32,24.0017531168,stimulus,
006,32,24.6761166473,tap,lctrl
006,33,24.7517868870,stimulus,
006,33,25.4436937522,tap,lctrl
006,34,25.5018294299,stimulus,
