# {'date': u'2018_mar_12_0828', 'frameRate': 99.783502814066992, 'expName': u'RNGT_HDtDCS', u'session': u'baseline', u'participant': u'013'}
subj,trial,time,stimulus,response
013,0,0.0001090843,stimulus,
013,0,0.4122468278,tap,lctrl
013,1,0.7501412695,stimulus,
013,1,1.1319446761,tap,rctrl
013,2,1.5001929943,stimulus,
013,2,1.7247050809,tap,lctrl
013,3,2.2502513716,stimulus,
013,3,2.4121873265,tap,rctrl
013,4,3.0002888169,stimulus,
013,4,3.1641039325,tap,lctrl
013,5,3.7503497386,stimulus,
013,5,3.8838114619,tap,lctrl
013,6,4.5004146451,stimulus,
013,6,4.6679596645,tap,rctrl
013,7,5.2504575219,stimulus,
013,7,5.4042891812,tap,rctrl
013,8,6.0005033761,stimulus,
013,8,6.0605017426,tap,lctrl
013,9,6.7505611760,stimulus,
013,9,6.8446627781,tap,lctrl
013,10,7.5005921191,stimulus,
013,10,7.6122232156,tap,rctrl
013,11,8.2506463642,stimulus,
013,11,8.3641353194,tap,rctrl
013,12,9.0007054422,stimulus,
013,12,9.1160738379,tap,lctrl
013,13,9.7507419642,stimulus,
013,13,9.9637270987,tap,rctrl
013,14,10.5008025280,stimulus,
013,14,10.7644486456,tap,lctrl
013,15,11.2508695609,stimulus,
013,15,11.4519107560,tap,rctrl
013,16,12.0009287352,stimulus,
013,16,12.1716490670,tap,lctrl
013,17,12.7509797803,stimulus,
013,17,12.9401727101,tap,rctrl
013,18,13.5010190361,stimulus,
013,18,13.6276451333,tap,lctrl
013,19,14.2510893350,stimulus,
013,19,14.3805401688,tap,rctrl
013,20,15.0011546506,stimulus,
013,20,15.1324819985,tap,lctrl
013,21,15.7512056115,stimulus,
013,21,15.8677923614,tap,rctrl
013,22,16.5012593152,stimulus,
013,22,16.6041044859,tap,lctrl
013,23,17.2513149828,stimulus,
013,23,17.3716820990,tap,rctrl
013,24,18.0013844006,stimulus,
013,24,18.1236133846,tap,lctrl
013,25,18.7514399600,stimulus,
013,25,18.8120427066,tap,rctrl
013,26,19.5014749992,stimulus,
013,26,19.6118386384,tap,lctrl
013,27,20.2515366758,stimulus,
013,27,20.5561380609,tap,rctrl
013,28,21.0016009989,stimulus,
013,28,21.1479354316,tap,lctrl
013,29,21.7516425253,stimulus,
013,29,21.9321127345,tap,rctrl
013,30,22.5016874713,stimulus,
013,30,22.6518176836,tap,lctrl
013,31,23.2517488771,stimulus,
013,31,23.4515539830,tap,lctrl
013,32,24.0017962140,stimulus,
013,32,24.1878782877,tap,rctrl
013,33,24.7518448140,stimulus,
013,33,24.9242103728,tap,rctrl
013,34,25.5018891675,stimulus,
013,34,25.6438997100,tap,lctrl
013,35,26.2519414878,stimulus,
013,35,26.3801929595,tap,lctrl
013,36,27.0020180213,stimulus,
013,36,27.1155172561,tap,rctrl
013,37,27.7520794091,stimulus,
013,37,27.8674295734,tap,rctrl
013,38,28.5021465051,stimulus,
013,38,28.5715389580,tap,lctrl
013,39,29.2522032975,stimulus,
013,39,29.4679885372,tap,rctrl
013,40,30.0022621530,stimulus,
013,40,30.1877048575,tap,lctrl
013,41,30.7523112823,stimulus,
013,41,30.9396088261,tap,rctrl
013,42,31.5023623154,stimulus,
013,42,31.7237900057,tap,lctrl
013,43,32.2524223078,stimulus,
013,43,32.4278514601,tap,rctrl
013,44,33.0024733047,stimulus,
013,44,33.1477254325,tap,lctrl
013,45,33.7525373752,stimulus,
013,45,33.9160693366,tap,rctrl
013,46,34.5026033224,stimulus,
013,46,34.6358112716,tap,lctrl
013,47,35.2526682621,stimulus,
013,47,35.4355813420,tap,lctrl
013,48,36.0027338423,stimulus,
013,48,36.1552736235,tap,rctrl
013,49,36.7527782228,stimulus,
013,49,36.8760000271,tap,rctrl
013,50,37.5028371806,stimulus,
013,50,37.5800269376,tap,lctrl
013,51,38.2528764815,stimulus,
013,51,38.3798522193,tap,rctrl
013,52,39.0029307055,stimulus,
013,52,39.1151464621,tap,rctrl
013,53,39.7529970376,stimulus,
013,53,39.9959955476,tap,lctrl
013,54,40.5030483384,stimulus,
013,54,40.7157222708,tap,rctrl
013,55,41.2531157562,stimulus,
013,55,41.4031914278,tap,lctrl
013,56,42.0031583202,stimulus,
013,56,42.1551134082,tap,rctrl
013,57,42.7532085443,stimulus,
013,57,42.8914272409,tap,lctrl
013,58,43.5032385851,stimulus,
013,58,43.6276890472,tap,rctrl
013,59,44.2532968662,stimulus,
013,59,44.3952552680,tap,rctrl
013,60,45.0033504647,stimulus,
013,60,45.0837085868,tap,lctrl
013,61,45.7534202133,stimulus,
013,61,45.8512549853,tap,lctrl
013,62,46.5034368979,stimulus,
013,62,46.5875483521,tap,rctrl
013,63,47.2534937595,stimulus,
013,63,47.3717274566,tap,rctrl
013,64,48.0035440286,stimulus,
013,64,48.0592468535,tap,lctrl
013,65,48.7535883250,stimulus,
013,65,48.8755995764,tap,rctrl
013,66,49.5036320859,stimulus,
013,66,49.6910014092,tap,lctrl
013,67,50.2536753387,stimulus,
013,67,50.4595350462,tap,rctrl
013,68,51.0037327837,stimulus,
013,68,51.1636031291,tap,lctrl
013,69,51.7538093503,stimulus,
013,69,51.9311907572,tap,rctrl
013,70,52.5038348829,stimulus,
013,70,52.6997258377,tap,rctrl
013,71,53.2538736665,stimulus,
013,71,53.4193878399,tap,rctrl
013,72,54.0039200711,stimulus,
013,72,54.1390878717,tap,lctrl
013,73,54.7539848844,stimulus,
013,73,54.9076476557,tap,lctrl
013,74,55.5040330363,stimulus,
013,74,55.6273351763,tap,lctrl
013,75,56.2540719011,stimulus,
013,75,56.3314082156,tap,lctrl
013,76,57.0041371415,stimulus,
013,76,57.0356271116,tap,rctrl
013,77,57.7542025082,stimulus,
013,77,57.8030608409,tap,lctrl
013,78,58.5042436587,stimulus,
013,78,58.5872141712,tap,rctrl
013,79,59.2542961534,stimulus,
013,79,59.3235137665,tap,lctrl
013,80,60.0043395204,stimulus,
013,80,60.2033958961,tap,rctrl
013,81,60.7543905174,stimulus,
013,81,60.9396964898,tap,lctrl
013,82,61.5044494090,stimulus,
013,82,61.6916464548,tap,rctrl
013,83,62.2544868363,stimulus,
013,83,62.3947148484,tap,lctrl
013,84,63.0045354513,stimulus,
013,84,63.1476126929,tap,rctrl
013,85,63.7546007970,stimulus,
013,85,63.8831266381,tap,lctrl
013,86,64.5046398092,stimulus,
013,86,64.6671388455,tap,lctrl
013,87,65.2546800123,stimulus,
013,87,65.3711645169,tap,rctrl
013,88,66.0047373400,stimulus,
013,88,66.1387404278,tap,rctrl
013,89,66.7548259395,stimulus,
013,89,66.8594849244,tap,lctrl
013,90,67.5048846266,stimulus,
013,90,67.5947418173,tap,rctrl
013,91,68.2549316778,stimulus,
013,91,68.3154083088,tap,lctrl
013,92,69.0049887168,stimulus,
013,92,69.0673311794,tap,rctrl
013,93,69.7550380597,stimulus,
013,93,69.9794454649,tap,rctrl
013,94,70.5050816432,stimulus,
013,94,70.6991516891,tap,rctrl
013,95,71.2551537828,stimulus,
013,95,71.4357217681,tap,lctrl
013,96,72.0051942085,stimulus,
013,96,72.1551605131,tap,lctrl
013,97,72.7552590819,stimulus,
013,97,72.8748682170,tap,rctrl
013,98,73.5053071256,stimulus,
013,98,73.6111712137,tap,rctrl
013,99,77.8061078744,probe1,0
013,100,78.5688679557,stimulus,
013,100,79.0348808033,tap,lctrl
013,101,79.3188774615,stimulus,
013,101,79.5465081696,tap,rctrl
013,102,80.0689322479,stimulus,
013,102,80.1871527001,tap,lctrl
013,103,80.8189836900,stimulus,
013,103,80.9390777842,tap,rctrl
013,104,81.5690468853,stimulus,
013,104,81.6587837407,tap,lctrl
013,105,82.3191039905,stimulus,
013,105,82.3950774744,tap,rctrl
013,106,83.0691470989,stimulus,
013,106,83.1792337130,tap,rctrl
013,107,83.8191969921,stimulus,
013,107,83.9311533325,tap,rctrl
013,108,84.5692664821,stimulus,
013,108,84.6508946871,tap,lctrl
013,109,85.3193037228,stimulus,
013,109,85.3871520303,tap,lctrl
013,110,86.0693667106,stimulus,
013,110,86.1225083806,tap,lctrl
013,111,86.8193890223,stimulus,
013,111,86.9066419187,tap,lctrl
013,112,87.5694266510,stimulus,
013,112,87.6429692670,tap,rctrl
013,113,88.3194945470,stimulus,
013,113,88.3626624477,tap,lctrl
013,114,89.0696654312,stimulus,
013,114,89.1302125274,tap,rctrl
013,115,89.8197043651,stimulus,
013,115,89.9466193188,tap,lctrl
013,116,90.5697424179,stimulus,
013,116,90.7463894162,tap,rctrl
013,117,91.3203191856,stimulus,
013,117,91.4827175585,tap,rctrl
013,118,92.0698554493,stimulus,
013,118,92.2189993555,tap,rctrl
013,119,92.8199047110,stimulus,
013,119,92.9865576457,tap,rctrl
013,120,93.5699660808,stimulus,
013,120,93.6906489583,tap,lctrl
013,121,94.3199950239,stimulus,
013,121,94.3946927919,tap,lctrl
013,122,95.0700440690,stimulus,
013,122,95.1466283992,tap,lctrl
013,123,95.8200842180,stimulus,
013,123,95.8829262261,tap,lctrl
013,124,96.5701378045,stimulus,
013,124,96.6182756562,tap,rctrl
013,125,97.3201930901,stimulus,
013,125,97.4024540118,tap,rctrl
013,126,98.0702446405,stimulus,
013,126,98.1221376468,tap,lctrl
013,127,98.8202906149,stimulus,
013,127,99.0019808174,tap,rctrl
013,128,99.5703592117,stimulus,
013,128,99.7549228358,tap,lctrl
013,129,100.3203913788,stimulus,
013,129,100.4746232495,tap,rctrl
013,130,101.0704453201,stimulus,
013,130,101.2587618703,tap,lctrl
013,131,101.8204826030,stimulus,
013,131,101.9462254154,tap,rctrl
013,132,102.5705369624,stimulus,
013,132,102.7303921049,tap,lctrl
013,133,103.3205909127,stimulus,
013,133,103.4666567202,tap,rctrl
013,134,104.0706299850,stimulus,
013,134,104.2342701826,tap,lctrl
013,135,104.8206928375,stimulus,
013,135,104.9705350956,tap,rctrl
013,136,105.5707588719,stimulus,
013,136,105.6580441378,tap,lctrl
013,137,106.3208136041,stimulus,
013,137,106.4421682174,tap,rctrl
013,138,107.0708761498,stimulus,
013,138,107.2106977401,tap,lctrl
