# {'date': u'2018_apr_24_1438', 'frameRate': 99.785023534801738, 'expName': u'RNGT_HDtDCS', u'session': u'stimulation', u'participant': u'043'}
subj,trial,time,stimulus,response
043,0,0.0001583355,stimulus,
043,0,0.3907853909,tap,rctrl
043,1,0.7501789793,stimulus,
043,1,1.0147508864,tap,rctrl
043,2,1.5002250125,stimulus,
043,2,1.7188506436,tap,lctrl
043,3,2.2502821883,stimulus,
043,3,2.4385798214,tap,rctrl
043,4,3.0003320470,stimulus,
043,4,3.2071138220,tap,rctrl
043,5,3.7503884740,stimulus,
043,5,3.8945624682,tap,rctrl
043,6,4.5004253553,stimulus,
043,6,4.6944183320,tap,lctrl
043,7,5.2504897371,stimulus,
043,7,5.4150328977,tap,lctrl
043,8,6.0005569701,stimulus,
043,8,6.1503590693,tap,lctrl
043,9,6.7506013521,stimulus,
043,9,6.8866629438,tap,rctrl
043,10,7.5006440800,stimulus,
043,10,7.6229710950,tap,lctrl
043,11,8.2506870154,stimulus,
043,11,8.4061641215,tap,lctrl
043,12,9.0007518754,stimulus,
043,12,9.1903288569,tap,rctrl
043,13,9.7508105851,stimulus,
043,13,9.9422509370,tap,lctrl
043,14,10.5008652377,stimulus,
043,14,10.7264393805,tap,lctrl
043,15,11.2509186091,stimulus,
043,15,11.4627343258,tap,rctrl
043,16,12.0009606693,stimulus,
043,16,12.1990342876,tap,lctrl
043,17,12.7510012979,stimulus,
043,17,12.9343601494,tap,lctrl
043,18,13.5010349432,stimulus,
043,18,13.6228175479,tap,rctrl
043,19,14.2510742846,stimulus,
043,19,14.3747445242,tap,lctrl
043,20,15.0011386905,stimulus,
043,20,15.1101270112,tap,rctrl
043,21,15.7511937612,stimulus,
043,21,15.8786250180,tap,rctrl
043,22,16.5012415236,stimulus,
043,22,16.6149094311,tap,rctrl
043,23,17.2513064378,stimulus,
043,23,17.3826743044,tap,lctrl
043,24,18.0013692617,stimulus,
043,24,18.0221231856,tap,rctrl
043,25,18.7514231384,stimulus,
043,25,18.8541158830,tap,lctrl
043,26,19.5014689610,stimulus,
043,26,19.6861448598,tap,lctrl
043,27,20.2515040739,stimulus,
