# {'date': u'2018_apr_27_1045', 'frameRate': 99.782720759235886, 'expName': u'RNGT_HDtDCS', u'session': u'baseline', u'participant': u'045'}
subj,trial,time,stimulus,response
045,0,0.0001090397,stimulus,
045,1,0.7501442067,stimulus,
045,2,1.5001947330,stimulus,
045,3,2.2502427150,stimulus,
045,4,3.0002865707,stimulus,
045,5,3.7503512593,stimulus,
045,5,3.9248561959,tap,rctrl
045,6,4.5003967841,stimulus,
045,6,4.7246456722,tap,rctrl
045,7,5.2504549374,stimulus,
045,7,5.4453166796,tap,rctrl
045,8,6.0005006187,stimulus,
045,8,6.1650202817,tap,rctrl
045,9,6.7505726456,stimulus,
045,9,6.8690887069,tap,rctrl
045,10,7.5006067991,stimulus,
045,10,7.6210217824,tap,lctrl
045,11,8.2506700561,stimulus,
045,11,8.3885862214,tap,lctrl
045,12,9.0007153073,stimulus,
045,12,9.0291904701,tap,rctrl
045,13,9.7507688591,stimulus,
045,13,9.7811340057,tap,lctrl
045,14,10.5008207538,stimulus,
045,14,10.5809060867,tap,rctrl
045,15,11.2508723839,stimulus,
045,15,11.3328484645,tap,lctrl
045,16,12.0009277132,stimulus,
045,16,12.2771648433,tap,lctrl
045,17,12.7509942063,stimulus,
045,17,13.0124784135,tap,lctrl
045,18,13.5010442303,stimulus,
045,18,13.7009343894,tap,rctrl
045,19,14.2511137881,stimulus,
045,19,14.5007161034,tap,rctrl
045,20,15.0011624437,stimulus,
045,20,15.2048319688,tap,rctrl
045,21,15.7512356195,stimulus,
045,21,15.8933276015,tap,lctrl
045,22,16.5012864525,stimulus,
045,22,16.7252933998,tap,lctrl
045,23,17.2513277819,stimulus,
045,23,17.4605880139,tap,lctrl
045,24,18.0013812285,stimulus,
045,24,18.1646806313,tap,rctrl
045,25,18.7514329789,stimulus,
045,25,18.9166363593,tap,lctrl
045,26,19.5014891503,stimulus,
045,26,19.5885021680,tap,rctrl
045,27,20.2515519321,stimulus,
045,27,20.3403764019,tap,rctrl
045,28,21.0015890420,stimulus,
045,28,21.0924434583,tap,rctrl
045,29,21.7516325879,stimulus,
045,29,21.8286691801,tap,rctrl
045,30,22.5016645369,stimulus,
045,30,22.8530326545,tap,rctrl
045,31,23.2517257278,stimulus,
045,31,23.4926613898,tap,rctrl
045,32,24.0017939773,stimulus,
045,32,24.1166911734,tap,lctrl
045,33,24.7518317338,stimulus,
045,33,24.9809225923,tap,lctrl
045,34,25.5018684858,stimulus,
045,34,25.6683931180,tap,rctrl
045,35,26.2519261549,stimulus,
045,35,26.3412355138,tap,lctrl
045,36,27.0019899112,stimulus,
045,36,27.1087882205,tap,rctrl
045,37,27.7520337638,stimulus,
045,37,27.8607304298,tap,lctrl
045,37,28.4524925388,tap,rctrl
045,38,28.5020824195,stimulus,
045,39,29.2521413487,stimulus,
045,39,29.2845258915,tap,lctrl
045,40,30.0021978539,stimulus,
045,40,30.0842862644,tap,lctrl
045,41,30.7522705094,stimulus,
045,41,30.7727510071,tap,rctrl
045,42,31.5022960946,stimulus,
045,42,31.5403175182,tap,lctrl
045,43,32.2523608253,stimulus,
