# {'date': u'2018_mai_01_1221', 'frameRate': 99.785273071244148, 'expName': u'RNGT_HDtDCS', u'session': u'stimulation', u'participant': u'050'}
subj,trial,time,stimulus,response
050,0,0.0001385901,stimulus,
050,0,0.3829613854,tap,lctrl
050,1,0.7501578267,stimulus,
050,1,0.9268377166,tap,lctrl
050,2,1.5001967743,stimulus,
050,2,1.6944096772,tap,lctrl
050,3,2.2502336587,stimulus,
050,3,2.3984881905,tap,rctrl
050,4,3.0002776137,stimulus,
050,4,3.1670132445,tap,rctrl
050,5,3.7503452044,stimulus,
050,5,3.8867312545,tap,lctrl
050,6,4.5004037847,stimulus,
050,6,4.6064657694,tap,lctrl
050,7,5.2504600192,stimulus,
050,7,5.3105012911,tap,rctrl
050,8,6.0005233001,stimulus,
050,8,6.0624464014,tap,rctrl
050,9,6.7505854744,stimulus,
050,9,6.8787943808,tap,lctrl
050,10,7.5006335496,stimulus,
050,10,7.6307399632,tap,lctrl
050,11,8.2506794715,stimulus,
050,11,8.3982988142,tap,rctrl
050,12,9.0007313361,stimulus,
050,12,9.1824220391,tap,rctrl
050,13,9.7507718445,stimulus,
050,13,9.8864917436,tap,lctrl
050,14,10.5008329451,stimulus,
050,14,10.6550487068,tap,lctrl
050,15,11.2508840218,stimulus,
050,15,11.3591286126,tap,rctrl
050,16,12.0009257272,stimulus,
050,16,12.1266646129,tap,rctrl
050,17,12.7509716400,stimulus,
050,17,12.8629522809,tap,lctrl
050,18,13.5010105154,stimulus,
050,18,13.5982806091,tap,rctrl
050,19,14.2510629394,stimulus,
050,19,14.3824265495,tap,rctrl
050,20,15.0011067079,stimulus,
050,20,15.0865312489,tap,lctrl
050,21,15.7511567200,stimulus,
050,21,15.8540691799,tap,lctrl
050,22,16.5011916856,stimulus,
050,22,16.6860805232,tap,rctrl
050,23,17.2512343264,stimulus,
050,23,17.4223601343,tap,rctrl
050,24,18.0013037666,stimulus,
050,24,18.1742937861,tap,lctrl
050,25,18.7513487201,stimulus,
050,25,18.9106017366,tap,lctrl
050,26,19.5013950570,stimulus,
050,26,19.6469013985,tap,rctrl
050,27,20.2514389970,stimulus,
050,27,20.3988508365,tap,rctrl
050,28,21.0014958781,stimulus,
050,28,21.1507783651,tap,lctrl
050,29,21.7515543140,stimulus,
050,29,21.9183015656,tap,lctrl
050,30,22.5016181664,stimulus,
050,30,22.6702634515,tap,rctrl
050,31,23.2516596883,stimulus,
050,31,23.3743293426,tap,rctrl
050,32,24.0017165634,stimulus,
050,32,24.1107263742,tap,lctrl
050,33,24.7517751136,stimulus,
050,33,24.8303064978,tap,lctrl
050,34,25.5018126567,stimulus,
050,34,25.5978614872,tap,lctrl
050,35,26.2518550899,stimulus,
050,35,26.4299017052,tap,rctrl
050,36,27.0018990178,stimulus,
050,36,27.1818118357,tap,rctrl
050,37,27.7519651529,stimulus,
050,37,27.9181087367,tap,lctrl
050,38,28.5020318925,stimulus,
050,38,28.6543963296,tap,lctrl
050,39,29.2520752791,stimulus,
050,39,29.4386670016,tap,rctrl
050,40,30.0021178747,stimulus,
050,40,30.1426097880,tap,rctrl
050,41,30.7521675288,stimulus,
050,41,30.9101714389,tap,lctrl
050,42,31.5022035591,stimulus,
050,42,31.6142724241,tap,rctrl
050,43,32.2522581846,stimulus,
050,43,32.3661520017,tap,rctrl
050,44,33.0023169995,stimulus,
050,44,33.2304007037,tap,lctrl
050,45,33.7523517125,stimulus,
050,45,33.8221546122,tap,lctrl
050,46,34.5024138116,stimulus,
050,46,34.5418875302,tap,rctrl
050,47,35.2524652221,stimulus,
050,47,35.3904911207,tap,rctrl
050,48,36.0025039802,stimulus,
050,48,36.2058885721,tap,lctrl
050,49,36.7526161385,stimulus,
050,49,36.8943384217,tap,lctrl
050,50,37.5026657896,stimulus,
050,50,37.6462661368,tap,lctrl
050,51,38.2527121626,stimulus,
050,51,38.4460685599,tap,lctrl
050,52,39.0032581451,stimulus,
050,52,39.1657473706,tap,rctrl
050,53,39.7528107942,stimulus,
050,53,39.8698260674,tap,rctrl
050,54,40.5028766165,stimulus,
050,54,40.6696173329,tap,lctrl
050,55,41.2529288150,stimulus,
050,55,41.3903058766,tap,rctrl
050,56,42.0029859577,stimulus,
050,56,42.1255780584,tap,lctrl
050,57,42.7530551153,stimulus,
050,57,42.8774977706,tap,lctrl
050,58,43.5031077949,stimulus,
050,58,43.5816013512,tap,lctrl
050,59,44.2531686278,stimulus,
050,59,44.3335404375,tap,rctrl
050,60,45.0032338486,stimulus,
050,60,45.0698129089,tap,rctrl
050,61,45.7532841373,stimulus,
050,61,45.8060998702,tap,rctrl
050,62,46.5033427958,stimulus,
050,62,46.6859929952,tap,lctrl
050,63,47.2533908079,stimulus,
050,63,47.4056922115,tap,lctrl
050,64,48.0034510874,stimulus,
050,64,48.1576046908,tap,rctrl
050,65,48.7535105188,stimulus,
050,65,48.8460705161,tap,rctrl
050,66,49.5035435296,stimulus,
050,66,49.6614345545,tap,lctrl
050,67,50.2535873042,stimulus,
050,67,50.4133962510,tap,lctrl
050,68,51.0036315930,stimulus,
050,68,51.1496722772,tap,rctrl
050,69,51.7536903087,stimulus,
050,69,51.9016287467,tap,lctrl
050,70,52.5037278577,stimulus,
050,70,52.6213300712,tap,rctrl
050,71,53.2537851539,stimulus,
050,71,53.3576491012,tap,rctrl
050,72,54.0038202759,stimulus,
050,72,54.1251918682,tap,rctrl
050,73,54.7538904590,stimulus,
050,73,54.8458548936,tap,lctrl
050,74,55.5039227781,stimulus,
050,74,55.5811792609,tap,lctrl
050,75,56.2539845463,stimulus,
050,75,56.3975669720,tap,lctrl
050,76,57.0040449582,stimulus,
050,76,57.1650864312,tap,rctrl
