# {'date': u'2018_mai_25_1411', 'frameRate': 99.783469374430695, 'expName': u'RNGT_HDtDCS', u'session': u'baseline', u'participant': u'054'}
subj,trial,time,stimulus,response
054,0,0.0001116712,stimulus,
054,1,0.7501402759,stimulus,
054,1,1.3653851305,tap,m
054,2,1.5001787001,stimulus,
054,2,1.7979862523,tap,m
054,3,2.2502474157,stimulus,
054,3,2.4053734963,tap,m
054,4,3.0002934849,stimulus,
054,4,3.0459906682,tap,m
054,5,3.7503390970,stimulus,
054,5,3.8613931863,tap,m
054,6,4.5004059510,stimulus,
054,6,4.6777910282,tap,m
054,7,5.2504429165,stimulus,
054,7,5.4297500945,tap,z
054,8,6.0004820564,stimulus,
054,8,6.0214928563,tap,z
054,8,6.7412091952,tap,z
054,9,6.7505254670,stimulus,
054,10,7.5005801226,stimulus,
054,10,7.5097261583,tap,z
054,11,8.2506174972,stimulus,
054,11,8.2617825321,tap,z
054,12,9.0006768054,stimulus,
054,12,9.0136117378,tap,z
054,13,9.7507200295,stimulus,
054,13,9.8289918682,tap,z
054,14,10.5007822670,stimulus,
054,14,10.5976517534,tap,m
054,14,11.2371468327,tap,m
054,15,11.2508147513,stimulus,
054,15,11.9578580532,tap,m
054,16,12.0008715212,stimulus,
054,17,12.7509226340,stimulus,
054,17,12.7576863683,tap,m
054,18,13.5009568145,stimulus,
054,18,13.5417863284,tap,m
054,19,14.2510233167,stimulus,
054,19,14.3738218524,tap,m
054,20,15.0010573138,stimulus,
054,20,15.1413856328,tap,z
054,21,15.7511160175,stimulus,
054,21,15.8454582053,tap,z
054,21,16.4850508146,tap,z
054,22,16.5011703001,stimulus,
054,23,17.2512401225,stimulus,
054,23,17.2536406974,tap,z
054,23,17.9733072893,tap,z
054,24,18.0012749708,stimulus,
054,25,18.7513249979,stimulus,
054,25,18.8209644325,tap,z
054,26,19.5013952563,stimulus,
054,26,19.5416317076,tap,z
054,27,20.2514352173,stimulus,
054,27,20.3570375249,tap,z
054,28,21.0014802790,stimulus,
054,28,21.1089900770,tap,m
054,29,21.7515342669,stimulus,
054,29,21.8775190881,tap,m
054,30,22.5015811151,stimulus,
054,30,22.5171384581,tap,m
054,31,23.2516390699,stimulus,
054,31,23.5249217201,tap,z
054,32,24.0016942999,stimulus,
054,32,24.1655636918,tap,z
054,33,24.7517600261,stimulus,
054,33,24.8696427455,tap,z
054,34,25.5018185704,stimulus,
054,34,25.6693813982,tap,z
054,35,26.2518801613,stimulus,
054,35,26.3412953569,tap,m
054,36,27.0019144261,stimulus,
054,36,27.1090049044,tap,m
054,37,27.7519719238,stimulus,
054,37,27.8295226920,tap,m
054,38,28.5020103991,stimulus,
054,38,28.5491979846,tap,m
054,38,29.2210543557,tap,m
054,39,29.2520652261,stimulus,
054,40,30.0021135659,stimulus,
054,40,30.1009282086,tap,m
054,40,30.7249363202,tap,z
054,41,30.7522001972,stimulus,
054,41,31.4934654847,tap,z
054,42,31.5022422484,stimulus,
054,42,32.1975449234,tap,z
054,43,32.2522964950,stimulus,
054,44,33.0023431386,stimulus,
054,44,33.0608155144,tap,z
054,45,33.7523847988,stimulus,
054,45,33.8127293660,tap,z
054,46,34.5024262064,stimulus,
054,46,34.5167946033,tap,z
054,47,35.2524825071,stimulus,
054,47,35.2853637344,tap,z
054,47,35.9894265776,tap,z
054,48,36.0025111509,stimulus,
054,49,36.7525573043,stimulus,
054,49,36.9016686636,tap,m
054,50,37.5026357522,stimulus,
054,50,37.5567626796,tap,m
054,51,38.2526766816,stimulus,
054,51,38.2608483407,tap,m
054,52,39.0027275207,stimulus,
054,52,39.0293661760,tap,m
054,52,39.7012193592,tap,m
054,53,39.7527999295,stimulus,
054,53,40.4854164433,tap,m
054,54,40.5028445221,stimulus,
054,54,41.2207491051,tap,z
054,55,41.2529139174,stimulus,
054,56,42.0029743113,stimulus,
054,56,42.0048973835,tap,z
054,56,42.7246533370,tap,z
054,57,42.7530058994,stimulus,
054,58,43.5030713639,stimulus,
054,58,43.6533093421,tap,z
054,59,44.2531100738,stimulus,
054,59,44.3886457874,tap,m
054,60,45.0031476679,stimulus,
054,60,45.1571434093,tap,m
054,61,45.7532109670,stimulus,
054,61,45.9091342197,tap,m
054,62,46.5032367266,stimulus,
054,62,46.6287875034,tap,m
054,63,47.2532732471,stimulus,
054,63,47.3328656910,tap,m
054,64,48.0033224380,stimulus,
054,64,48.0525918372,tap,m
054,65,48.7533840590,stimulus,
054,65,48.8533654074,tap,z
054,66,49.5034531115,stimulus,
054,66,49.5564396366,tap,z
054,67,50.2535328646,stimulus,
054,67,50.3571896070,tap,z
054,68,51.0035968164,stimulus,
054,68,51.0446867430,tap,z
054,69,51.7536527983,stimulus,
054,69,51.8132446772,tap,z
054,70,52.5037163440,stimulus,
054,70,52.6608423171,tap,z
054,71,53.2537829544,stimulus,
054,71,53.5573507068,tap,z
054,72,54.0038401634,stimulus,
054,72,54.1168735439,tap,z
054,73,54.7538899318,stimulus,
054,73,54.9010766039,tap,m
054,74,55.5039371318,stimulus,
054,74,55.6207143419,tap,m
054,75,56.2539848100,stimulus,
054,75,56.2926084210,tap,m
