# {'date': u'2018_jun_05_1034', 'frameRate': 99.784392676405346, 'expName': u'RNGT_HDtDCS', u'session': u'baseline', u'participant': u'057'}
subj,trial,time,stimulus,response
057,0,0.0001048583,stimulus,
057,0,0.6417155791,tap,rctrl
057,1,0.7501273761,stimulus,
057,1,1.1055562663,tap,lctrl
057,2,1.5001837610,stimulus,
057,2,1.7931220679,tap,rctrl
057,3,2.2502347775,stimulus,
057,3,2.3536363027,tap,lctrl
057,4,3.0003131078,stimulus,
057,4,3.1533383968,tap,rctrl
057,5,3.7503504524,stimulus,
057,5,3.8730281847,tap,rctrl
057,6,4.5003962841,stimulus,
057,6,4.5770944968,tap,rctrl
057,7,5.2504393789,stimulus,
057,7,5.3456530900,tap,rctrl
057,8,6.0004785791,stimulus,
057,8,6.0653383998,tap,rctrl
057,9,6.7505445999,stimulus,
057,9,6.8172664938,tap,lctrl
057,9,7.4735077270,tap,rctrl
057,10,7.5006040764,stimulus,
057,11,8.2506577756,stimulus,
057,11,8.3367394752,tap,lctrl
057,12,9.0007020644,stimulus,
057,12,9.1052845738,tap,rctrl
057,13,9.7507499321,stimulus,
057,13,9.8572211971,tap,lctrl
057,14,10.5007995020,stimulus,
057,14,10.6091416822,tap,rctrl
057,15,11.2508343835,stimulus,
057,15,11.3454103551,tap,lctrl
057,16,12.0008874301,stimulus,
057,16,12.1295768636,tap,rctrl
057,17,12.7509497336,stimulus,
057,17,12.8326876311,tap,lctrl
057,18,13.5009993878,stimulus,
057,18,13.6334245616,tap,rctrl
057,19,14.2510303084,stimulus,
057,19,14.3531777529,tap,lctrl
057,20,15.0010835174,stimulus,
057,20,15.0571828269,tap,rctrl
057,21,15.7511384165,stimulus,
057,21,15.7935484756,tap,rctrl
057,22,16.5011788438,stimulus,
057,22,16.5288058817,tap,lctrl
057,22,16.9613953195,tap,lctrl
057,23,17.2512461848,stimulus,
057,23,17.9047800691,tap,rctrl
057,24,18.0012914481,stimulus,
057,25,18.7513560403,stimulus,
057,25,19.0893329296,tap,lctrl
057,26,19.5014123439,stimulus,
057,26,19.7289256881,tap,rctrl
057,27,20.2514582147,stimulus,
057,27,20.4330420925,tap,lctrl
057,28,21.0015127319,stimulus,
057,28,21.1848957337,tap,rctrl
057,29,21.7515681965,stimulus,
057,29,21.9045975485,tap,lctrl
057,30,22.5016183168,stimulus,
057,30,22.6409354653,tap,rctrl
057,31,23.2516632913,stimulus,
057,31,23.3449850138,tap,rctrl
057,32,24.0017234114,stimulus,
057,32,24.0969445509,tap,lctrl
057,33,24.7517878924,stimulus,
057,33,24.8644560102,tap,rctrl
057,34,25.5018395765,stimulus,
057,34,25.5685601231,tap,rctrl
057,35,26.2518783948,stimulus,
057,35,26.3849270165,tap,rctrl
057,36,27.0019438502,stimulus,
057,36,27.1212269250,tap,rctrl
057,37,27.7519821842,stimulus,
057,37,27.8409088454,tap,rctrl
057,38,28.5020516124,stimulus,
057,38,28.6563246634,tap,lctrl
057,39,29.2520853270,stimulus,
057,39,29.4248841137,tap,rctrl
