# {'date': u'2018_jun_12_0952', 'frameRate': 99.783435933911264, 'expName': u'RNGT_HDtDCS', u'session': u'stimulation', u'participant': u'060'}
subj,trial,time,stimulus,response
060,0,0.0001384896,stimulus,
060,0,0.3233751550,tap,lctrl
060,1,0.7501816160,stimulus,
060,1,0.9152239084,tap,rctrl
060,2,1.5002207544,stimulus,
060,2,1.7315347891,tap,lctrl
060,3,2.2502636552,stimulus,
060,3,2.4357633303,tap,rctrl
060,4,3.0003313197,stimulus,
060,4,3.1709646678,tap,lctrl
060,5,3.7503890295,stimulus,
060,5,3.9072550563,tap,rctrl
060,6,4.5004527663,stimulus,
060,6,4.6272261584,tap,lctrl
060,7,5.2505009723,stimulus,
060,7,5.3310808757,tap,lctrl
060,8,6.0005700053,stimulus,
060,8,6.1154193314,tap,rctrl
060,9,6.7506097271,stimulus,
060,9,6.8671664745,tap,rctrl
060,10,7.5006542129,stimulus,
060,10,7.6035986397,tap,lctrl
060,11,8.2506954655,stimulus,
060,11,8.3075458017,tap,rctrl
060,12,9.0007628985,stimulus,
060,12,9.1232380866,tap,lctrl
060,13,9.7508165211,stimulus,
060,13,9.8114126096,tap,lctrl
060,14,10.5008766729,stimulus,
060,14,10.5467706682,tap,lctrl
060,15,11.2509295526,stimulus,
060,15,11.2996649071,tap,rctrl
060,16,12.0009794218,stimulus,
060,16,12.0995993229,tap,lctrl
060,17,12.7510210925,stimulus,
060,17,12.8670021160,tap,rctrl
060,18,13.5010769526,stimulus,
060,18,13.5867256343,tap,rctrl
060,19,14.2511275707,stimulus,
060,19,14.3396313318,tap,rctrl
060,20,15.0011836022,stimulus,
060,20,15.0427317936,tap,lctrl
060,21,15.7512301180,stimulus,
060,21,15.8591573085,tap,rctrl
060,22,16.5012780293,stimulus,
060,22,16.5632363827,tap,lctrl
060,23,17.2513192489,stimulus,
060,23,17.3307797316,tap,lctrl
060,24,18.0013783692,stimulus,
060,24,18.0827238813,tap,lctrl
060,25,18.7514340248,stimulus,
060,25,18.8190404591,tap,rctrl
060,26,19.5014935480,stimulus,
060,26,19.5387351956,tap,lctrl
060,27,20.2515447165,stimulus,
060,27,20.2908828392,tap,rctrl
060,28,21.0015953886,stimulus,
060,28,21.1549133284,tap,rctrl
060,29,21.7516321451,stimulus,
060,29,21.9068302993,tap,rctrl
060,30,22.5016949586,stimulus,
060,30,22.6275056270,tap,lctrl
060,31,23.2517597690,stimulus,
060,31,23.3628793217,tap,rctrl
060,32,24.0018050818,stimulus,
060,32,24.0992464466,tap,lctrl
060,33,24.7518632818,stimulus,
060,33,24.8511220794,tap,lctrl
060,34,25.5018982367,stimulus,
060,34,25.6352824065,tap,rctrl
060,35,26.2519625089,stimulus,
060,35,26.3549975790,tap,lctrl
060,36,27.0020211810,stimulus,
060,36,27.0914107548,tap,rctrl
060,37,27.7520672427,stimulus,
060,37,27.8432401773,tap,rctrl
060,38,28.5021390275,stimulus,
060,38,28.5629341167,tap,lctrl
060,39,29.2521931102,stimulus,
060,39,29.3314702403,tap,rctrl
060,40,30.0022494335,stimulus,
060,40,30.0835686541,tap,lctrl
060,41,30.7523076605,stimulus,
060,41,30.7711701569,tap,lctrl
060,42,31.5023423659,stimulus,
060,42,31.6673741410,tap,lctrl
060,43,32.2523751524,stimulus,
060,43,32.3870883842,tap,rctrl
060,44,33.0024396381,stimulus,
060,44,33.1546261842,tap,lctrl
060,45,33.7524996425,stimulus,
060,45,33.8909633153,tap,rctrl
060,46,34.5025341794,stimulus,
060,46,34.6428624878,tap,rctrl
060,47,35.2525725359,stimulus,
060,47,35.3948258946,tap,rctrl
060,48,36.0026212381,stimulus,
060,48,36.0512311646,tap,lctrl
060,49,36.7526913629,stimulus,
060,49,36.8352070805,tap,rctrl
060,50,37.5027357464,stimulus,
060,50,37.6029667022,tap,lctrl
060,51,38.2527767765,stimulus,
060,51,38.3546965461,tap,lctrl
060,52,39.0028253193,stimulus,
060,52,39.1067530863,tap,rctrl
060,53,39.7528772486,stimulus,
060,53,39.8273037890,tap,lctrl
060,54,40.5029352862,stimulus,
060,54,40.5626572762,tap,rctrl
060,55,41.2529768757,stimulus,
