# {'date': u'2016_apr_25_1849', 'frameRate': None, 'expName': 'pilot1', u'participant': u'001'}
subj,sessionix,ISI,time,stimulus,response
001,1,1.25,0.0015634661,1,
001,1,1.25,0.3799060863,0,lalt
001,1,1.25,0.9238753432,0,rctrl
001,1,1.25,1.2503641971,1,
001,1,1.25,2.5003284305,1,
001,1,1.25,2.5638340157,0,lalt
001,1,1.25,3.7503449142,1,
001,1,1.25,3.8037885828,0,rctrl
001,1,1.25,5.0003122578,1,
001,1,1.25,5.0357578721,0,rctrl
001,1,1.25,6.2503287415,1,
001,1,1.25,6.3077241507,0,lalt
001,1,1.25,7.5003094587,1,
001,1,1.25,7.5636909494,0,rctrl
001,1,1.25,8.7503386940,1,
001,1,1.25,8.8916555635,0,lalt
001,1,1.25,10.0003545557,1,
001,1,1.25,10.0996186349,0,lalt
001,1,1.25,11.2503228323,1,
001,1,1.25,11.4036115538,0,lalt
001,1,1.25,12.4915637522,0,rctrl
001,1,1.25,12.5003414931,1,
001,1,1.25,13.7504027628,1,
001,1,1.25,13.8275817562,0,rctrl
001,1,1.25,15.0003629530,1,
001,1,1.25,15.0835081231,0,rctrl
001,1,1.25,16.2354781463,0,rctrl
001,1,1.25,16.2503822359,1,
001,1,1.25,17.5003551777,1,
001,1,1.25,17.6434690846,0,lalt
001,1,1.25,18.6994425390,0,rctrl
001,1,1.25,18.7503107027,1,
001,1,1.25,20.0003290525,1,
001,1,1.25,20.0593849641,0,lalt
001,1,1.25,21.2503234543,1,
001,1,1.25,21.3073605756,0,rctrl
001,1,1.25,22.5003349618,1,
001,1,1.25,22.5793318305,0,rctrl
001,1,1.25,23.7503421151,1,
001,1,1.25,23.8272962456,0,lalt
001,1,1.25,25.0003181671,1,
001,1,1.25,25.0912644948,0,lalt
001,1,1.25,26.2352423979,0,rctrl
001,1,1.25,26.2503191001,1,
001,1,1.25,27.5003187891,1,
001,1,1.25,27.5552055614,0,lalt
001,1,1.25,28.7503147459,1,
001,1,1.25,28.7951756792,0,rctrl
001,1,1.25,30.0003234543,1,
001,1,1.25,30.1231465136,0,rctrl
001,1,1.25,31.2503253204,1,
001,1,1.25,31.2991174674,0,lalt
001,1,1.25,32.4910931884,0,rctrl
001,1,1.25,32.5003486464,1,
001,1,1.25,33.7503047935,1,
001,1,1.25,33.7710463000,0,lalt
001,1,1.25,34.9230321849,0,rctrl
001,1,1.25,35.0003085256,1,
001,1,1.25,36.1710186820,0,rctrl
001,1,1.25,36.2503172340,1,
001,1,1.25,37.5003075926,1,
001,1,1.25,37.5550559638,0,rctrl
001,1,1.25,38.6829264652,0,lalt
001,1,1.25,38.7503436702,1,
001,1,1.25,39.9149470717,0,rctrl
001,1,1.25,40.0003318517,1,
001,1,1.25,41.2028627571,0,lalt
001,1,1.25,41.2503508235,1,
001,1,1.25,42.3868625307,0,rctrl
001,1,1.25,42.5003234543,1,
001,1,1.25,43.7503439812,1,
001,1,1.25,43.7628109671,0,lalt
001,1,1.25,44.8587795448,0,rctrl
001,1,1.25,45.0003414931,1,
001,1,1.25,46.2503246983,1,
001,1,1.25,46.4267472441,0,lalt
001,1,1.25,47.4027164562,0,rctrl
001,1,1.25,47.5006864073,1,
001,1,1.25,48.7503390050,1,
001,1,1.25,48.7626840735,0,lalt
001,1,1.25,50.0003414931,1,
001,1,1.25,50.0186773083,0,rctrl
001,1,1.25,51.2186240006,0,lalt
001,1,1.25,51.2503414931,1,
001,1,1.25,52.4426095670,0,rctrl
001,1,1.25,52.5003340288,1,
001,1,1.25,53.6745947180,0,lalt
001,1,1.25,53.7503191001,1,
001,1,1.25,54.9705267826,0,lalt
001,1,1.25,55.0003156789,1,
001,1,1.25,56.2503075926,1,
001,1,1.25,56.2905064299,0,rctrl
001,1,1.25,57.4984757216,0,rctrl
001,1,1.25,57.5003094587,1,
001,1,1.25,58.7064422143,0,rctrl
001,1,1.25,58.7503125688,1,
001,1,1.25,60.0003107027,1,
001,1,1.25,60.0104021657,0,lalt
001,1,1.25,61.1463801732,0,rctrl
001,1,1.25,61.2503414931,1,
001,1,1.25,62.3383689568,0,lalt
001,1,1.25,62.5003486464,1,
001,1,1.25,63.6343290127,0,rctrl
001,1,1.25,63.7503107027,1,
001,1,1.25,64.8582887651,0,lalt
001,1,1.25,65.0003405600,1,
