# {'date': u'2016_Apr_27_1455', 'frameRate': None, 'expName': 'pilot1', u'participant': u'002'}
subj,sessionix,ISI,time,stimulus,response
002,1,0.3,0.0016185200,1,
002,1,0.3,0.3003723156,1,
002,1,0.3,0.6003076557,1,
002,1,0.3,0.7811940660,0,lalt
002,1,0.3,0.9004566628,1,
002,1,0.3,1.0771823196,0,lalt
002,1,0.3,1.2003095839,1,
002,1,0.3,1.3491446943,0,rctrl
002,1,0.3,1.5003152133,1,
002,1,0.3,1.6371663085,0,lalt
002,1,0.3,1.8003096461,1,
002,1,0.3,1.9411258667,0,lalt
002,1,0.3,2.1003109213,1,
002,1,0.3,2.2291104702,0,lalt
002,1,0.3,2.4004120322,1,
002,1,0.3,2.5411165984,0,rctrl
002,1,0.3,2.7002935667,1,
002,1,0.3,2.8851068475,0,rctrl
002,1,0.3,3.0002942198,1,
002,1,0.3,3.1970893386,0,lalt
002,1,0.3,3.3003250414,1,
002,1,0.3,3.4850950912,0,rctrl
002,1,0.3,3.6003082777,1,
002,1,0.3,3.8290837852,0,lalt
002,1,0.3,3.9002996004,1,
002,1,0.3,4.0770880821,0,rctrl
002,1,0.3,4.2002968323,1,
002,1,0.3,4.3730648282,0,rctrl
002,1,0.3,4.5003164574,1,
002,1,0.3,4.6770710385,0,rctrl
002,1,0.3,4.8002748125,1,
002,1,0.3,4.9810573439,0,lalt
002,1,0.3,5.1004126231,1,
002,1,0.3,5.2610600684,0,rctrl
002,1,0.3,5.4002748747,1,
002,1,0.3,5.5730531340,0,rctrl
002,1,0.3,5.7002920116,1,
002,1,0.3,5.8210620962,0,rctrl
002,1,0.3,6.0003057274,1,
002,1,0.3,6.2051141377,0,rctrl
002,1,0.3,6.3003810240,1,
002,1,0.3,6.4290449705,0,lalt
002,1,0.3,6.6002992583,1,
002,1,0.3,6.7330527359,0,rctrl
002,1,0.3,6.9003020885,1,
002,1,0.3,7.0610375510,0,lalt
002,1,0.3,7.2003770741,1,
002,1,0.3,7.3810687893,0,lalt
002,1,0.3,7.5003394725,1,
002,1,0.3,7.6690285116,0,rctrl
002,1,0.3,7.8002912963,1,
002,1,0.3,7.9330052751,0,lalt
002,1,0.3,8.1003874309,1,
002,1,0.3,8.2289969499,0,rctrl
002,1,0.3,8.4004076780,1,
002,1,0.3,8.5249855145,0,lalt
002,1,0.3,8.7004369444,1,
002,1,0.3,8.8529759278,0,lalt
002,1,0.3,9.0002951529,1,
002,1,0.3,9.1649792569,0,rctrl
002,1,0.3,9.3004376287,1,
002,1,0.3,9.4929628278,0,lalt
002,1,0.3,9.6003222733,1,
002,1,0.3,9.7649671895,0,rctrl
002,1,0.3,9.9003415874,1,
002,1,0.3,10.0769518577,0,lalt
002,1,0.3,10.2004215492,1,
002,1,0.3,10.3489509322,0,rctrl
002,1,0.3,10.5003466258,1,
002,1,0.3,10.6609340453,0,rctrl
002,1,0.3,10.8003600305,1,
002,1,0.3,10.9809419575,0,lalt
002,1,0.3,11.1002975477,1,
002,1,0.3,11.2449277404,0,rctrl
002,1,0.3,11.4003059762,1,
002,1,0.3,11.5649272552,0,rctrl
002,1,0.3,11.7003803398,1,
002,1,0.3,11.8289158373,0,lalt
002,1,0.3,12.0007000939,1,
002,1,0.3,12.2128988335,0,lalt
002,1,0.3,12.3003794689,1,
002,1,0.3,12.4768970570,0,rctrl
002,1,0.3,12.6006494607,1,
002,1,0.3,12.7888994530,0,lalt
002,1,0.3,12.9003437645,1,
002,1,0.3,13.0928857584,0,rctrl
002,1,0.3,13.2003755190,1,
002,1,0.3,13.3569228587,0,lalt
002,1,0.3,13.5003547122,1,
002,1,0.3,13.6848787494,0,lalt
002,1,0.3,13.8002981386,1,
002,1,0.3,13.9808623378,0,rctrl
002,1,0.3,14.1003314483,1,
002,1,0.3,14.3008559433,0,lalt
002,1,0.3,14.4003199718,1,
002,1,0.3,14.5648566549,0,rctrl
002,1,0.3,14.7003934024,1,
002,1,0.3,14.8288527013,0,lalt
002,1,0.3,15.0004873599,1,
002,1,0.3,15.1168453912,0,rctrl
002,1,0.3,15.3003119788,1,
002,1,0.3,15.4528503401,0,rctrl
002,1,0.3,15.6003057896,1,
002,1,0.3,15.7328309825,0,lalt
002,1,0.3,15.9003552720,1,
002,1,0.3,16.0288329208,0,rctrl
002,1,0.3,16.2003590353,1,
002,1,0.3,16.3328164270,0,rctrl
002,1,0.3,16.5003080600,1,
002,1,0.3,16.6128001796,0,lalt
002,1,0.3,16.8002832099,1,
002,1,0.3,16.9728002170,0,lalt
002,1,0.3,17.1003678370,1,
002,1,0.3,17.3247990923,0,rctrl
002,1,0.3,17.4002795399,1,
002,1,0.3,17.5727769531,0,lalt
002,1,0.3,17.7003116055,1,
002,1,0.3,17.8447856689,0,rctrl
002,1,0.3,18.0004223578,1,
002,1,0.3,18.1567697151,0,lalt
002,1,0.3,18.3002961170,1,
002,1,0.3,18.4447760897,0,lalt
002,1,0.3,18.6002886838,1,
002,1,0.3,18.7407680755,0,rctrl
002,1,0.3,18.9004933625,1,
002,1,0.3,19.0207633356,0,lalt
002,1,0.3,19.2003263787,1,
002,1,0.3,19.3007511314,0,lalt
002,1,0.3,19.5002698052,1,
002,1,0.3,19.5887404001,0,lalt
002,1,0.3,19.8002760566,1,
002,1,0.3,19.9327415347,0,lalt
002,1,0.3,20.1003165196,1,
002,1,0.3,20.2207332916,0,rctrl
002,1,0.3,20.4004316261,1,
002,1,0.3,20.5487252600,0,rctrl
002,1,0.3,20.7003240461,1,
002,1,0.3,20.8287230082,0,lalt
002,1,0.3,21.0003427381,1,
002,1,0.3,21.1407120306,0,lalt
002,1,0.3,21.3003387260,1,
002,1,0.3,21.4367114808,0,rctrl
002,1,0.3,21.6002933490,1,
002,1,0.3,21.7647305074,0,lalt
002,1,0.3,21.9003717558,1,
002,1,0.3,22.0366928821,0,rctrl
002,1,0.3,22.2003136271,1,
002,1,0.3,22.3726940988,0,rctrl
002,1,0.3,22.5003117922,1,
002,1,0.3,22.7567386759,0,lalt
002,1,0.3,22.8002825879,1,
002,1,0.3,22.9886728478,0,rctrl
002,1,0.3,23.1003267831,1,
002,1,0.3,23.3166729025,0,lalt
002,1,0.3,23.4003719113,1,
002,1,0.3,23.5726777394,0,rctrl
002,1,0.3,23.7002982319,1,
002,1,0.3,23.8846785804,0,lalt
002,1,0.3,24.0003019952,1,
002,1,0.3,24.1566838751,0,rctrl
002,1,0.3,24.3004205229,1,
002,1,0.3,24.4686635671,0,lalt
002,1,0.3,24.6003011243,1,
002,1,0.3,24.7566543909,0,lalt
002,1,0.3,24.9003263476,1,
002,1,0.3,25.0206392408,0,lalt
002,1,0.3,25.2002931002,1,
002,1,0.3,25.3566472998,0,rctrl
002,1,0.3,25.5002949974,1,
002,1,0.3,25.6206215751,0,lalt
002,1,0.3,25.8003180435,1,
002,1,0.3,25.9086316819,0,rctrl
002,1,0.3,26.1003246060,1,
002,1,0.3,26.2205980002,0,lalt
002,1,0.3,26.4004132762,1,
002,1,0.3,26.5326147030,0,rctrl
002,1,0.3,26.7002733507,1,
002,1,0.3,26.8685981918,0,lalt
002,1,0.3,27.0002413473,1,
002,1,0.3,27.1325827307,0,rctrl
002,1,0.3,27.3003191321,1,
002,1,0.3,27.4525747811,0,rctrl
002,1,0.3,27.6003011243,1,
002,1,0.3,27.7965796479,0,lalt
002,1,0.3,27.9004681703,1,
002,1,0.3,28.0445687051,0,rctrl
002,1,0.3,28.2002949663,1,
002,1,0.3,28.3485534555,0,lalt
002,1,0.3,28.5004436623,1,
002,1,0.3,28.7085475835,0,lalt
002,1,0.3,28.8002838319,1,
002,1,0.3,28.9885356903,0,lalt
002,1,0.3,29.1003003468,1,
002,1,0.3,29.2845404277,0,lalt
002,1,0.3,29.4004384684,1,
002,1,0.3,29.5645300896,0,rctrl
002,1,0.3,29.7002957438,1,
002,1,0.3,29.7885234364,0,lalt
002,1,0.3,30.0002982630,1,
002,1,0.3,30.1165163378,0,rctrl
002,1,0.3,30.3003101127,1,
002,1,0.3,30.4045009413,0,lalt
002,1,0.3,30.6003120099,1,
002,1,0.3,30.7005084778,0,rctrl
002,1,0.3,30.9003058207,1,
002,1,0.3,31.0524911804,0,lalt
002,1,0.3,31.2002990094,1,
002,1,0.3,31.2844869332,0,lalt
002,1,0.3,31.5003674638,1,
002,1,0.3,31.6444910137,0,lalt
002,1,0.3,31.8002822769,1,
002,1,0.3,31.9484822953,0,lalt
002,1,0.3,32.1003218068,1,
002,1,0.3,32.2124826959,0,rctrl
002,1,0.3,32.4002733196,1,
002,1,0.3,32.5484711610,0,rctrl
002,1,0.3,32.7003582577,1,
002,1,0.3,32.8764796131,0,rctrl
002,1,0.3,33.0003038613,1,
002,1,0.3,33.1724445407,0,lalt
002,1,0.3,33.3002970501,1,
002,1,0.3,33.4124479867,0,rctrl
002,1,0.3,33.6003092107,1,
002,1,0.3,33.7644406418,0,rctrl
002,1,0.3,33.9003810862,1,
002,1,0.3,34.0684294353,0,lalt
002,1,0.3,34.2002927892,1,
002,1,0.3,34.3244296070,0,rctrl
002,1,0.3,34.5003254768,1,
002,1,0.3,34.7244158601,0,lalt
002,1,0.3,34.8002645490,1,
002,1,0.3,34.9244063431,0,lalt
002,1,0.3,35.1002987917,1,
002,1,0.3,35.3004099484,0,lalt
002,1,0.3,35.4003075312,1,
002,1,0.3,35.6124005259,0,rctrl
002,1,0.3,35.7003252902,1,
002,1,0.3,35.8764444685,0,lalt
002,1,0.3,36.0003763277,1,
002,1,0.3,36.1643905062,0,rctrl
002,1,0.3,36.3003119788,1,
002,1,0.3,36.4283703798,0,lalt
002,1,0.3,36.6002889948,1,
002,1,0.3,36.7083871000,0,rctrl
002,1,0.3,36.9004414230,1,
002,1,0.3,37.0043737985,0,lalt
002,1,0.3,37.2002937222,1,
002,1,0.3,37.2923664884,0,lalt
002,1,0.3,37.5003575113,1,
002,1,0.3,37.6283661500,0,rctrl
002,1,0.3,37.8003133783,1,
002,1,0.3,37.9803594271,0,rctrl
002,1,0.3,38.1002941265,1,
002,1,0.3,38.3003412141,0,rctrl
002,1,0.3,38.4004390904,1,
002,1,0.3,38.5243734377,0,lalt
002,1,0.3,38.7003980676,1,
002,1,0.3,38.8123449787,0,rctrl
002,1,0.3,39.0006145649,1,
002,1,0.3,39.1323258326,0,lalt
002,1,0.3,39.3004245660,1,
002,1,0.3,39.3883263153,0,rctrl
002,1,0.3,39.6002942820,1,
002,1,0.3,39.7883135015,0,lalt
002,1,0.3,39.9004355138,1,
002,1,0.3,40.0603054226,0,lalt
002,1,0.3,40.2003621454,1,
