# {'date': u'2016_Apr_29_1241', 'frameRate': None, 'expName': 'RNGT', u'participant': u'004'}
subj,time,stimulus,response
004,0.0013180840,1,
004,1.0003091495,1,
004,1.8650777088,0,9
004,2.0003346528,1,
004,2.9690163168,0,4
004,3.0003141257,1,
004,4.0003234562,1,
004,4.0410497025,0,minus
004,5.0003187910,1,
004,5.0651036475,0,bracketright
004,5.9609840284,0,3
004,6.0003262553,1,
004,7.0003212791,1,
004,7.0569404215,0,b
004,8.0003436722,1,
004,8.0729272444,0,n
004,8.9768930974,0,9
004,9.0003648213,1,
004,10.0003222121,1,
004,10.0888894971,0,n
004,11.0003374519,1,
004,11.0569142962,0,5
004,12.0003439832,1,
004,12.0008484505,0,0
004,13.0003405621,1,
004,13.1128311655,0,minus
004,13.9528307550,0,bracketright
004,14.0003831712,1,
004,15.0003598450,1,
004,15.0168449149,0,4
004,16.0003573569,1,
004,16.0887769095,0,4
004,17.0003271884,1,
004,17.0567528791,0,9
004,18.0003458493,1,
004,18.0647344720,0,b
004,19.0002889335,1,
004,19.0967193143,0,n
004,20.0003302985,1,
004,20.1207039029,0,q
004,21.0003349638,1,
004,21.2167007281,0,minus
004,22.0003138147,1,
004,22.0327048434,0,3
004,23.0003449163,1,
004,23.0007526577,0,0
004,24.0003138147,1,
004,24.1126218520,0,5
004,25.0003240782,1,
004,25.0326022083,0,9
004,26.0003514476,1,
004,26.1125988369,0,n
004,27.0003119486,1,
004,27.0005707136,0,minus
004,27.9925549090,0,bracketright
004,28.0003169249,1,
004,29.0003063503,1,
004,29.0405387039,0,3
004,30.0003253223,1,
004,30.1045258054,0,4
004,31.0003358968,1,
004,31.0324945969,0,4
004,32.0003427392,1,
004,32.0404733906,0,q
004,33.0003135037,1,
004,33.0484571606,0,n
004,33.9844448667,0,9
004,34.0003657543,1,
004,34.9764275071,0,5
004,35.0003433612,1,
004,35.9364041560,0,b
004,36.0003813051,1,
004,36.8883768190,0,3
004,37.0002957758,1,
004,38.0003505146,1,
004,38.0163731042,0,minus
004,38.0723596410,0,0
004,39.0003321646,1,
004,39.1363710018,0,bracketright
004,40.0004615471,1,
004,40.2164018421,0,minus
004,40.9923225804,0,b
004,41.0003554908,1,
004,42.0003334087,1,
004,42.1202918073,0,n
004,43.0003271884,1,
004,43.0962782943,0,9
004,44.0003200350,1,
004,44.0962985103,0,4
004,45.0003240782,1,
004,45.1282379443,0,0
004,46.0003551798,1,
004,46.0802249140,0,3
004,47.0003296765,1,
004,47.0402133816,0,minus
004,47.9761799387,0,bracketright
004,48.0003044843,1,
004,49.0003150588,1,
004,49.1041640943,0,9
004,50.0003159918,1,
004,50.0721761418,0,5
004,51.0002292185,1,
004,51.0801278772,0,n
004,52.0003147478,1,
004,52.0241108609,0,b
004,53.0003446053,1,
004,53.0720899905,0,5
004,54.0003172359,1,
004,54.0080776967,0,9
004,55.0003278104,1,
004,55.0800482572,0,4
004,56.0003274994,1,
004,56.0640577021,0,0
004,57.0003100825,1,
004,57.0400805779,0,n
004,58.0003194130,1,
004,58.0640729419,0,bracketright
004,59.0004304456,1,
004,59.0320171880,0,3
004,60.0004232922,1,
004,60.0719733596,0,q
004,61.0003474044,1,
004,61.1679443705,0,n
004,62.0003781949,1,
004,62.0879262818,0,9
004,63.0002914216,1,
004,63.0879082429,0,0
004,64.0003399400,1,
004,64.0238841305,0,3
004,65.0003380739,1,
004,65.0078830009,0,minus
004,66.0003517586,1,
004,66.1198591846,0,0
004,66.9758337783,0,minus
004,67.0003676204,1,
004,67.9918181131,0,bracketright
004,68.0003641992,1,
004,69.0004074304,1,
004,69.0638082676,0,n
004,70.0003321646,1,
004,70.0557884198,0,5
004,71.0007249773,1,
004,71.0557638496,0,b
004,71.7757521679,0,9
004,72.0003228342,1,
004,73.0003004411,1,
004,73.1517174436,0,n
004,74.0003228342,1,
004,74.0077729014,0,4
004,75.0004351108,1,
004,75.0797552805,0,0
004,75.9517179412,0,3
004,76.0003346528,1,
004,76.9276770588,0,minus
004,77.0003116376,1,
004,78.0003088385,1,
004,78.0556329120,0,5
004,79.0003166139,1,
004,79.0476174185,0,n
004,80.0003526917,1,
004,80.0716001410,0,q
004,81.0003203460,1,
004,81.1435731896,0,3
004,82.0002345057,1,
004,82.1115690643,0,9
004,83.0003396290,1,
004,83.0635339519,0,0
004,84.0003172359,1,
004,84.2155226010,0,b
004,84.9994883794,0,n
004,85.0003141257,1,
004,86.0003523807,1,
004,86.0874933482,0,9
004,87.0003688645,1,
004,87.1114633190,0,4
004,88.0003551798,1,
004,88.1194377585,0,n
004,89.0003038622,1,
004,89.0634263405,0,5
004,89.9754661579,0,minus
004,90.0003744628,1,
004,90.9114003694,0,3
004,91.0003918796,1,
004,92.0003586010,1,
004,92.0155818806,0,n
004,93.0003498925,1,
004,93.1114001828,0,5
004,94.0003390070,1,
004,94.0473745153,0,3
004,95.0003620221,1,
004,95.0793434959,0,4
004,96.0003327867,1,
004,96.0873110930,0,0
004,97.0003470934,1,
004,97.0952920638,0,n
004,98.0003268774,1,
004,98.1272660206,0,bracketright
004,99.0003169249,1,
004,99.0952500767,0,minus
004,100.0003996550,1,
004,100.1352354839,0,9
004,101.0003234562,1,
004,101.1112098413,0,3
004,102.0003184800,1,
004,102.0872016155,0,minus
004,103.0003274994,1,
004,103.0791711932,0,bracketright
004,104.0003247003,1,
004,104.0631479815,0,n
004,105.0003135037,1,
004,105.0391338465,0,9
004,106.0003172359,1,
004,106.1191133692,0,5
004,107.0003116376,1,
004,107.1350952159,0,3
004,108.0003163028,1,
004,108.1030714966,0,q
004,108.9590613301,0,bracketright
004,109.0003163028,1,
004,109.9990831261,0,minus
004,110.0003374519,1,
004,111.0003147478,1,
004,111.1990540150,0,b
004,112.0003452273,1,
004,112.1030379069,0,n
004,113.0003334087,1,
004,113.1109911973,0,4
004,114.0003318536,1,
004,114.0229828074,0,0
004,115.0003610891,1,
004,115.1349496606,0,3
004,116.0003184800,1,
004,116.1109417458,0,minus
004,117.0003262553,1,
004,117.0149184844,0,5
004,118.0003508256,1,
004,118.1348924337,0,bracketright
004,119.0003377629,1,
004,119.0708745416,0,bracketright
004,120.0003694865,1,
004,120.0388688612,0,minus
004,121.0004071194,1,
004,121.1588322360,0,9
004,122.0003299875,1,
004,122.1108310243,0,5
004,123.0003256333,1,
004,123.0947987931,0,3
004,124.0003358968,1,
004,124.0867848547,0,q
004,124.9987637131,0,b
004,125.0003365189,1,
004,125.9907538178,0,5
004,126.0003306096,1,
004,126.9827249506,0,9
004,127.0002973309,1,
004,128.0003178579,1,
004,128.0068003557,0,n
004,128.8627376276,0,minus
004,129.0003247003,1,
004,130.0003299875,1,
004,130.0148114950,0,bracketright
004,130.9666479332,0,3
004,131.0003399400,1,
004,131.9986324645,0,5
004,132.0003247003,1,
004,132.9986128705,0,9
004,133.0003100825,1,
004,134.0003424282,1,
004,134.0225990141,0,5
004,135.0004718106,1,
004,135.0786163414,0,3
004,136.0003554908,1,
004,136.0065758024,0,q
004,137.0003337197,1,
004,137.0305560368,0,3
004,137.8945122234,0,9
004,138.0003187910,1,
004,139.0003231452,1,
004,139.0225072645,0,n
004,140.0003816161,1,
004,140.0945101707,0,4
004,141.0004186270,1,
004,141.0464778574,0,minus
004,142.0003371409,1,
004,142.0704487613,0,bracketright
004,142.9664330214,0,minus
004,143.0003707306,1,
004,144.0004161388,1,
004,144.0144388983,0,0
004,144.7983981454,0,b
