# {'date': u'2016_May_04_1211', 'frameRate': None, 'expName': 'RNGT', u'participant': u'008'}
subj,time,stimulus,response
008,0.0013025450,1,
008,1.0003455414,1,
008,1.1534291021,0,n
008,2.0003113294,1,
008,2.3853847484,0,q
008,3.0003234591,1,
008,3.2093617156,0,3
008,4.0003116404,1,
008,4.3293563412,0,n
008,5.0003343448,1,
008,5.1853563835,0,minus
008,6.0003865959,1,
008,6.1213543980,0,0
008,7.0003629585,1,
008,7.0733340922,0,4
008,8.0003769543,1,
008,8.1133378991,0,3
008,9.0003766433,1,
008,9.0493253389,0,minus
008,10.0003474075,1,
008,10.2573537187,0,q
008,11.0003729110,1,
008,11.1693277400,0,bracketright
008,12.0004009027,1,
008,12.1372996886,0,minus
008,13.0003859738,1,
008,13.0972800198,0,3
008,14.0003303015,1,
008,14.1532683056,0,3
008,15.0003262583,1,
008,15.1532574200,0,4
008,16.0002799165,1,
008,16.3132558524,0,4
008,17.0002911132,1,
008,17.4492371341,0,3
008,18.0003536279,1,
008,18.3212944336,0,q
008,19.0003287464,1,
008,19.2012292069,0,3
008,20.0003296795,1,
008,20.1292132106,0,4
008,21.0003194159,1,
008,21.0012095505,0,5
008,22.0003169277,1,
008,22.0651854105,0,n
008,23.0003803755,1,
008,23.1131994959,0,b
008,24.0003187938,1,
008,24.0811711335,0,0
008,25.0003122625,1,
008,25.1291572273,0,4
008,26.0002998217,1,
008,26.1531572720,0,4
008,27.0003452304,1,
008,27.1211609446,0,q
008,28.0003530059,1,
008,28.1212088414,0,minus
008,29.0003411872,1,
008,29.1451476155,0,bracketright
008,30.0002609444,1,
008,30.2011271928,0,9
008,31.0003645135,1,
008,31.1291152398,0,0
008,32.0003489626,1,
008,32.1450934983,0,minus
008,33.0003589152,1,
008,33.1450966085,0,3
008,34.0003536279,1,
008,34.1370748223,0,4
008,35.0003029319,1,
008,35.1450648847,0,4
008,36.0003131955,1,
008,36.1930652852,0,4
008,37.0003250142,1,
008,37.1050629439,0,4
008,38.0002245553,1,
008,38.1210744814,0,b
008,39.0003103963,1,
008,39.2170332951,0,b
008,40.0002852039,1,
008,40.1050190903,0,n
008,41.0003399431,1,
008,41.1450163658,0,q
008,42.0003141286,1,
008,42.0650047088,0,bracketright
008,43.0003446084,1,
008,43.0489981476,0,minus
008,44.0003324787,1,
008,44.0729851296,0,0
008,44.9529995235,0,0
008,45.0003159947,1,
008,46.0003035539,1,
008,46.0889957341,0,4
008,47.0003138176,1,
008,47.1210160100,0,3
008,48.0003060421,1,
008,48.2169518083,0,minus
008,49.0003670017,1,
008,49.0969372775,0,0
008,50.0003666907,1,
008,50.0809409799,0,0
008,51.0003150616,1,
008,51.1289152550,0,9
008,52.0003365219,1,
008,52.1369174470,0,minus
008,53.0002771174,1,
008,53.1289062354,0,q
008,54.0002239332,1,
008,54.0408986068,0,bracketright
008,55.0003458524,1,
008,55.1208769848,0,n
008,56.0003676237,1,
008,56.1128614189,0,b
008,57.0003010658,1,
008,57.1288533623,0,q
008,58.0003474075,1,
008,58.1848509787,0,n
008,59.0003191049,1,
008,59.1448397073,0,b
008,60.0003318566,1,
008,60.3208238628,0,n
008,61.0003287464,1,
008,61.0413421190,0,n
008,62.0003343448,1,
008,62.0648156096,0,n
008,63.0003225261,1,
008,63.0328858401,0,4
008,64.0003321676,1,
008,64.1048433649,0,0
008,65.0003135065,1,
008,65.0808187497,0,minus
008,65.9927734878,0,3
008,66.0003128845,1,
008,67.0003169277,1,
008,67.0087666753,0,0
008,68.0006652683,1,
008,68.0967522216,0,4
