# {'date': u'2016_May_10_1414', 'frameRate': None, 'expName': 'pilot1', u'participant': u'013'}
subj,sessionix,ISI,time,stimulus,response
013,1,1.25,0.0015578630,1,
013,1,1.25,0.3848839083,0,rctrl
013,1,1.25,0.8808513166,0,lalt
013,1,1.25,1.2503985629,1,
013,1,1.25,2.4568553747,0,rctrl
013,1,1.25,2.5003405590,1,
013,1,1.25,3.7503466237,1,
013,1,1.25,4.0087634070,0,rctrl
013,1,1.25,5.0003365158,1,
013,1,1.25,5.1447157996,0,rctrl
013,1,1.25,6.2503335612,1,
013,1,1.25,6.3207023788,0,lalt
013,1,1.25,7.5003355828,1,
013,1,1.25,7.5286511189,0,lalt
013,1,1.25,8.7503310731,1,
013,1,1.25,8.7846255188,0,rctrl
013,1,1.25,10.0004183122,1,
013,1,1.25,10.0325851195,0,rctrl
013,1,1.25,11.2503400925,1,
013,1,1.25,11.3125473128,0,lalt
013,1,1.25,12.5003405590,1,
013,1,1.25,12.6485101555,0,lalt
013,1,1.25,13.7503285850,1,
013,1,1.25,13.8564809775,0,lalt
013,1,1.25,15.0003716603,1,
013,1,1.25,15.0084604805,0,rctrl
013,1,1.25,16.2503627964,1,
013,1,1.25,16.3044556934,0,lalt
013,1,1.25,17.4883989125,0,rctrl
013,1,1.25,17.5003511334,1,
013,1,1.25,18.7502327931,1,
013,1,1.25,18.8244168044,0,rctrl
013,1,1.25,20.0003536215,1,
013,1,1.25,20.0883382028,0,rctrl
013,1,1.25,21.2482734126,0,rctrl
013,1,1.25,21.2503497339,1,
013,1,1.25,22.4722362005,0,rctrl
013,1,1.25,22.5003330947,1,
013,1,1.25,23.7042088115,0,lalt
013,1,1.25,23.7503292070,1,
013,1,1.25,24.9761730002,0,rctrl
013,1,1.25,25.0003237643,1,
013,1,1.25,26.2241378881,0,rctrl
013,1,1.25,26.2503189436,1,
013,1,1.25,27.4641097477,0,lalt
013,1,1.25,27.5003222092,1,
013,1,1.25,28.7503145894,1,
013,1,1.25,28.7920671215,0,lalt
013,1,1.25,30.0003206542,1,
013,1,1.25,30.0560333057,0,rctrl
013,1,1.25,31.2503472458,1,
013,1,1.25,31.3119993083,0,lalt
013,1,1.25,32.4799769975,0,rctrl
013,1,1.25,32.5003390039,1,
013,1,1.25,33.7503416475,1,
013,1,1.25,33.7759448413,0,lalt
013,1,1.25,34.9599064100,0,rctrl
013,1,1.25,35.0003228313,1,
013,1,1.25,36.2239058726,0,lalt
013,1,1.25,36.2503488008,1,
013,1,1.25,37.5003125678,1,
013,1,1.25,37.5198491464,0,lalt
013,1,1.25,38.7503229868,1,
