# {'date': u'2017_mai_19_1128', 'frameRate': 59.020808934306977, 'expName': 'pilot4', u'participant': u'20'}
subj,trial,time,stimulus,response
20,0,0.0013103168,stimulus,
20,0,0.7198391542,tap,rctrl
20,1,0.7505253863,stimulus,
20,2,1.5006408516,stimulus,
20,2,1.5518072761,tap,lalt
20,3,2.2506692319,stimulus,
20,3,2.3357636242,tap,rctrl
20,4,3.0006578020,stimulus,
20,4,3.0557772592,tap,lalt
20,5,3.7506715646,stimulus,
20,5,3.8237874282,tap,rctrl
20,6,4.5007556171,stimulus,
20,6,4.5598592086,tap,lalt
20,7,5.2506770074,stimulus,
20,7,5.2957649056,tap,lalt
20,8,6.0006522037,stimulus,
20,8,6.0797240528,tap,lalt
20,9,6.7507004892,stimulus,
20,9,6.7997296014,tap,lalt
20,10,7.5007406882,stimulus,
20,10,7.5517295218,tap,rctrl
20,11,8.2507339236,stimulus,
20,11,8.3357157275,tap,rctrl
20,11,8.9917116942,tap,lalt
20,12,9.0007395997,stimulus,
20,12,9.7117069792,tap,rctrl
20,13,9.7507269257,stimulus,
20,13,10.4957084248,tap,rctrl
20,14,10.5007581052,stimulus,
20,15,11.2507783991,stimulus,
20,15,11.2956827970,tap,rctrl
20,16,12.0008027362,stimulus,
20,16,12.0796379010,tap,lalt
20,17,12.7508466674,stimulus,
20,17,12.8956940558,tap,lalt
20,18,13.5008663393,stimulus,
20,18,13.6156905848,tap,lalt
20,19,14.2508592636,stimulus,
20,19,14.2876747180,tap,rctrl
20,20,15.0008941754,stimulus,
20,20,15.0556631158,tap,rctrl
20,21,15.7509888024,stimulus,
20,21,15.8076776540,tap,lalt
20,22,16.5009126809,stimulus,
20,22,16.5436555070,tap,lalt
20,23,17.2508990739,stimulus,
20,23,17.3116159133,tap,lalt
20,24,18.0009237220,stimulus,
20,24,18.0636024599,tap,rctrl
20,25,18.7509623659,stimulus,
20,25,18.7835940127,tap,rctrl
20,26,19.5009851480,stimulus,
20,26,19.5515892529,tap,rctrl
20,27,20.2510315673,stimulus,
20,27,20.2716221709,tap,rctrl
20,28,21.0010282239,stimulus,
20,28,21.0715474023,tap,lalt
20,29,21.7510771314,stimulus,
20,29,21.8075653767,tap,lalt
20,30,22.5010513947,stimulus,
20,30,22.6235723907,tap,rctrl
20,31,23.2510931488,stimulus,
20,31,23.3435763842,tap,lalt
20,32,24.0011087774,stimulus,
20,32,24.0315881830,tap,rctrl
20,32,24.7515128670,tap,lalt
20,33,24.7520695883,stimulus,
20,33,25.4715184155,tap,rctrl
20,34,25.5021194289,stimulus,
20,35,26.2521027117,stimulus,
20,35,26.2554803619,tap,lalt
20,36,27.0021074547,stimulus,
20,36,27.0234908419,tap,rctrl
20,37,27.7521414333,stimulus,
20,37,27.8075193461,tap,lalt
20,38,28.5021987383,stimulus,
20,38,28.6235027228,tap,rctrl
20,39,29.2522037924,stimulus,
20,39,29.2954377152,tap,rctrl
20,40,30.0022113345,stimulus,
20,40,30.1594739201,tap,lalt
20,41,30.7522378488,stimulus,
20,41,30.8954723003,tap,lalt
20,42,31.5022565876,stimulus,
20,42,31.6154545226,tap,lalt
20,43,32.2522572874,stimulus,
20,43,32.3674454234,tap,lalt
20,44,33.0022573651,stimulus,
20,44,33.0714503649,tap,rctrl
20,45,33.7522938319,stimulus,
20,45,33.8394599119,tap,lalt
20,46,34.5022783588,stimulus,
20,46,34.6234647787,tap,rctrl
20,47,35.2522930544,stimulus,
20,47,35.3277807376,tap,rctrl
20,48,39.9424667359,probe1,0
20,49,40.7079959182,stimulus,
20,49,41.3913807094,tap,rctrl
20,50,41.4578728330,stimulus,
20,51,42.2079910974,stimulus,
20,51,42.2393270452,tap,lalt
20,52,42.9579526090,stimulus,
20,52,43.1353196778,tap,rctrl
20,53,43.7079800563,stimulus,
20,53,43.8072829728,tap,rctrl
20,54,44.4580488689,stimulus,
20,54,44.5273065603,tap,lalt
20,55,45.2080449035,stimulus,
20,55,45.2632495794,tap,lalt
20,56,45.9580608431,stimulus,
20,56,45.9992482707,tap,lalt
20,57,46.7081218803,stimulus,
20,57,46.7672631050,tap,lalt
20,58,47.4581508827,stimulus,
20,58,47.5512206971,tap,lalt
20,59,48.2081929478,stimulus,
20,59,48.3192448619,tap,lalt
20,60,48.9582088875,stimulus,
20,60,49.0552370218,tap,lalt
20,61,49.7082450432,stimulus,
20,61,49.8072251235,tap,lalt
20,62,50.4582541405,stimulus,
20,62,50.4792226304,tap,rctrl
20,63,51.2083120675,stimulus,
20,63,51.2152057707,tap,rctrl
20,64,51.9583087241,stimulus,
20,64,51.9832436203,tap,rctrl
20,65,52.7083734935,stimulus,
20,65,52.7192351582,tap,rctrl
20,65,53.4231788292,tap,rctrl
20,66,53.4583797916,stimulus,
20,67,54.2084028846,stimulus,
20,67,54.2391948627,tap,lalt
20,68,54.9584573904,stimulus,
20,68,55.0391676798,tap,lalt
20,69,55.7085243370,stimulus,
20,69,55.7911302781,tap,lalt
20,70,56.4585639139,stimulus,
20,70,56.4952017773,tap,rctrl
20,71,57.2085462637,stimulus,
20,71,57.2151137096,tap,rctrl
20,72,57.9586107221,stimulus,
20,72,57.9990915178,tap,lalt
20,72,58.6871624099,tap,rctrl
20,73,58.7086512321,stimulus,
20,73,59.4391228311,tap,lalt
20,74,59.4586398022,stimulus,
20,74,60.1751336520,tap,rctrl
20,75,60.2086566749,stimulus,
20,75,60.9430697989,tap,lalt
20,76,60.9587121138,stimulus,
20,76,61.6950793608,tap,rctrl
20,77,61.7087442263,stimulus,
20,78,62.4587688745,stimulus,
20,78,62.4630441213,tap,lalt
20,78,63.1990275726,tap,lalt
20,79,63.2087826370,stimulus,
20,79,63.9510371346,tap,rctrl
20,80,63.9588358988,stimulus,
20,80,64.6550321234,tap,rctrl
20,81,64.7089320809,stimulus,
20,82,65.4589187849,stimulus,
20,82,65.5350683134,tap,rctrl
20,83,66.2089580509,stimulus,
20,83,66.3030256095,tap,lalt
20,84,66.9589898524,stimulus,
20,84,67.1190173837,tap,lalt
20,85,67.7090232091,stimulus,
20,85,67.7750074411,tap,lalt
20,86,68.4590658962,stimulus,
20,86,68.5909995263,tap,lalt
20,87,69.2090976978,stimulus,
20,87,69.2469902057,tap,rctrl
20,88,75.1114954251,probe1,1
20,89,75.8775841279,stimulus,
20,89,76.5589015857,tap,rctrl
20,90,76.6275257344,stimulus,
20,91,77.3774850688,stimulus,
20,91,77.4708662118,tap,lalt
20,92,78.1275818730,stimulus,
20,92,78.2228947458,tap,rctrl
20,93,78.8775598685,stimulus,
20,93,78.9748735170,tap,lalt
20,93,79.5988589389,tap,rctrl
20,94,79.6276149964,stimulus,
20,95,80.3776598607,stimulus,
20,95,80.3988236696,tap,rctrl
20,95,81.0868388895,tap,rctrl
20,96,81.1277109453,stimulus,
20,97,81.8776876967,stimulus,
20,97,81.9028272425,tap,rctrl
20,97,82.6068489789,tap,rctrl
20,98,82.6277981857,stimulus,
20,98,83.3748386208,tap,rctrl
20,99,83.3777522329,stimulus,
20,99,84.1108015450,tap,rctrl
20,100,84.1277995853,stimulus,
20,101,84.8778544021,stimulus,
20,101,84.8796275130,tap,rctrl
20,102,85.6278796723,stimulus,
20,102,85.6787524963,tap,rctrl
20,103,86.3779055645,stimulus,
20,103,86.4307465074,tap,lalt
20,104,87.1279529169,stimulus,
20,104,87.1827809507,tap,lalt
20,104,87.8708117215,tap,lalt
20,105,87.8779517506,stimulus,
20,106,88.6280392243,stimulus,
20,106,88.6707245122,tap,lalt
20,106,89.3748012987,tap,rctrl
20,107,89.3780281054,stimulus,
20,107,90.1267741605,tap,rctrl
20,108,90.1280120103,stimulus,
20,108,90.8147430389,tap,rctrl
20,109,90.8780761576,stimulus,
20,109,91.5666897753,tap,rctrl
20,110,91.6281872686,stimulus,
20,110,92.3666890288,tap,lalt
20,111,92.3785260445,stimulus,
20,112,93.1282014199,stimulus,
20,112,93.1827007082,tap,lalt
20,113,93.8782609020,stimulus,
20,113,93.9346785463,tap,lalt
20,114,94.6283751232,stimulus,
20,114,94.6706542222,tap,lalt
20,114,95.3586526472,tap,rctrl
20,115,95.3783282373,stimulus,
20,115,96.0786532195,tap,rctrl
20,116,96.1283671923,stimulus,
20,117,96.8783734904,stimulus,
20,117,96.9266493181,tap,lalt
20,118,97.6284737158,stimulus,
20,118,97.6786349317,tap,lalt
20,118,98.3666237151,tap,rctrl
20,119,98.3784597977,stimulus,
20,120,99.1285416731,stimulus,
20,120,99.1825937181,tap,lalt
20,121,99.8785479712,stimulus,
20,121,99.9345961266,tap,rctrl
20,122,100.6285670210,stimulus,
20,122,100.7025863906,tap,rctrl
20,123,101.3786065980,stimulus,
20,123,101.4226096671,tap,rctrl
20,123,102.1265657788,tap,lalt
20,124,102.1286405767,stimulus,
20,125,102.8786425205,stimulus,
20,125,102.9425836785,tap,lalt
20,126,103.6287166204,stimulus,
20,126,103.7105789187,tap,lalt
20,127,104.3787583745,stimulus,
20,127,104.4946304381,tap,lalt
20,128,105.1288240770,stimulus,
20,128,105.1825619943,tap,rctrl
20,129,105.8788073598,stimulus,
20,129,105.9505037395,tap,lalt
20,130,106.6288438266,stimulus,
20,130,106.7025319625,tap,lalt
20,131,107.3788532349,stimulus,
20,131,107.4546584670,tap,rctrl
20,132,108.1289139610,stimulus,
20,132,108.3025152298,tap,lalt
20,133,108.8789224363,stimulus,
20,133,108.8944636705,tap,lalt
20,134,109.6289458403,stimulus,
20,134,109.6464573705,tap,rctrl
20,135,110.3789452961,stimulus,
20,135,110.4145493372,tap,lalt
20,136,111.1290769342,stimulus,
20,136,111.2306114013,tap,rctrl
20,137,111.8790412450,stimulus,
20,137,111.9664583160,tap,lalt
20,138,112.6291361831,stimulus,
20,138,112.6545021496,tap,rctrl
20,138,113.3584573282,tap,rctrl
20,139,117.8063685813,probe1,0
20,140,118.5744107851,stimulus,
20,140,118.9423920917,tap,rctrl
20,141,119.3243334195,stimulus,
20,141,119.4543829055,tap,lalt
20,141,120.0143397736,tap,rctrl
20,142,120.0743506032,stimulus,
