# {'date': u'2017_mar_24_0919', 'frameRate': 59.035687990332185, 'expName': 'pilot4', u'participant': u'3'}
subj,trial,time,stimulus,response
3,0,0.0014651812,stimulus,
3,1,0.7505618446,stimulus,
3,1,0.8172488930,tap,lalt
3,2,1.5005455164,stimulus,
3,2,1.5371759791,tap,lalt
3,3,2.2505609115,stimulus,
3,3,2.2571680669,tap,rctrl
3,4,3.0006207815,stimulus,
3,4,3.0251547133,tap,rctrl
3,5,3.7505833045,stimulus,
3,5,3.7771210916,tap,rctrl
3,5,4.4010938941,tap,lalt
3,6,4.5006276238,stimulus,
3,6,5.2491066158,tap,lalt
3,7,5.2505913908,stimulus,
3,7,5.9371094846,tap,rctrl
3,8,6.0006095850,stimulus,
3,9,6.7506523493,stimulus,
3,9,6.7530546120,tap,rctrl
3,9,7.4410307337,tap,rctrl
3,10,7.5006434854,stimulus,
3,10,8.2090161360,tap,rctrl
3,11,8.2506582585,stimulus,
3,11,8.9929882170,tap,rctrl
3,12,9.0007022668,stimulus,
3,12,9.6489514826,tap,rctrl
3,13,9.7507515624,stimulus,
3,13,10.4329416024,tap,rctrl
3,14,10.5007280809,stimulus,
3,14,11.2169180376,tap,rctrl
3,15,11.2507472082,stimulus,
3,15,11.9849491587,tap,rctrl
3,16,12.0007426985,stimulus,
3,17,12.7507885729,stimulus,
3,17,12.7529075029,tap,lalt
3,18,13.5007713117,stimulus,
3,18,13.5208456313,tap,lalt
3,18,14.2088136666,tap,lalt
3,19,14.2507751993,stimulus,
3,20,15.0008241839,stimulus,
3,20,15.1048355644,tap,lalt
3,20,15.7287760217,tap,lalt
3,21,15.7508694362,stimulus,
3,22,16.5008574622,stimulus,
3,22,16.5447799305,tap,lalt
3,22,17.1847422108,tap,lalt
3,23,17.2508635270,stimulus,
3,23,17.8247321713,tap,lalt
3,24,18.0008929177,stimulus,
3,24,18.6087453060,tap,rctrl
3,25,18.7509160881,stimulus,
3,26,19.5008941617,stimulus,
3,26,19.5367023067,tap,rctrl
3,27,20.2509263516,stimulus,
3,27,20.3367186037,tap,lalt
3,28,21.0009684938,stimulus,
3,28,21.0726497853,tap,lalt
3,29,21.7509742475,stimulus,
3,29,21.8565571757,tap,lalt
3,30,22.5009967959,stimulus,
3,30,22.7526213712,tap,lalt
3,31,23.2510087699,stimulus,
3,31,23.3445928252,tap,lalt
3,31,24.0005968335,tap,lalt
3,32,24.0011286654,stimulus,
3,32,24.6565884013,tap,rctrl
3,33,24.7511676975,stimulus,
3,34,25.5011146698,stimulus,
3,34,25.5045370544,tap,rctrl
3,34,26.1605248900,tap,rctrl
3,35,26.2511792049,stimulus,
3,35,26.9285102923,tap,rctrl
3,36,27.0011983322,stimulus,
3,37,27.7512566471,stimulus,
3,37,27.7604392993,tap,lalt
3,37,28.4964186879,tap,lalt
3,38,33.5681407221,probe1,0
3,39,34.3341714091,stimulus,
3,39,34.5923092139,tap,rctrl
3,40,35.0840720405,stimulus,
3,40,35.1843055489,tap,rctrl
3,41,35.8340743731,stimulus,
3,41,35.9362629078,tap,rctrl
3,42,36.5841137162,stimulus,
3,42,36.6882507460,tap,rctrl
3,43,37.3340908568,stimulus,
3,43,37.3442099685,tap,rctrl
3,43,38.0641914819,tap,rctrl
3,44,38.0839967754,stimulus,
3,44,38.7841711292,tap,rctrl
3,45,38.8340955220,stimulus,
3,45,39.5361692308,tap,rctrl
3,46,39.5841432624,stimulus,
3,46,40.2721784765,tap,lalt
3,47,40.3341704761,stimulus,
3,47,41.0081258308,tap,rctrl
3,48,41.0842244368,stimulus,
3,48,41.8081044953,tap,lalt
3,49,41.8342040654,stimulus,
3,50,42.5842231927,stimulus,
3,50,42.6561050875,tap,lalt
3,51,43.3342752874,stimulus,
3,51,43.3920642602,tap,rctrl
3,52,44.0843385785,stimulus,
3,52,44.1760322981,tap,rctrl
3,53,44.8344395021,stimulus,
3,53,44.9919796025,tap,lalt
3,54,45.5844194418,stimulus,
3,54,45.6479307387,tap,lalt
3,55,46.3344491435,stimulus,
3,55,46.4479557441,tap,lalt
3,56,47.0844343704,stimulus,
3,56,47.1679378796,tap,rctrl
3,57,47.8344488325,stimulus,
3,57,47.9519329755,tap,rctrl
3,58,48.5844763571,stimulus,
3,58,48.6879391112,tap,lalt
3,59,49.3344877091,stimulus,
3,59,49.4559465954,tap,lalt
3,60,50.0845111906,stimulus,
3,60,50.1918721787,tap,rctrl
3,61,50.8345309399,stimulus,
3,61,50.9278487682,tap,lalt
3,61,51.4238118223,tap,rctrl
3,62,51.5845562874,stimulus,
3,62,52.1758133451,tap,lalt
3,63,52.3345807019,stimulus,
3,64,53.0845491341,stimulus,
3,64,53.0877839780,tap,rctrl
3,65,53.8345738596,stimulus,
3,65,53.8877701068,tap,lalt
3,66,54.5846026283,stimulus,
3,66,54.5917285530,tap,rctrl
3,67,55.3346015398,stimulus,
3,67,55.3437316308,tap,lalt
3,67,56.0156924606,tap,rctrl
3,68,56.0846502133,stimulus,
3,69,56.8346544119,stimulus,
3,69,56.8476572341,tap,lalt
3,70,57.5846701181,stimulus,
3,70,57.5996435172,tap,lalt
3,70,58.3196293847,tap,rctrl
3,71,58.3347293660,stimulus,
3,71,58.9596454703,tap,rctrl
3,72,59.0847217462,stimulus,
3,72,59.7916634270,tap,lalt
3,73,59.8347038630,stimulus,
3,73,60.5595608126,tap,lalt
3,74,60.5847590677,stimulus,
3,75,61.3347834822,stimulus,
3,75,61.4075589167,tap,rctrl
3,76,62.0848181602,stimulus,
3,76,62.1275248795,tap,lalt
3,77,62.8348360434,stimulus,
3,77,62.9595151560,tap,rctrl
3,78,63.5848604579,stimulus,
3,78,63.6794593478,tap,lalt
3,78,64.3354568249,tap,rctrl
3,79,64.3360605007,stimulus,
3,80,65.0860108942,stimulus,
3,80,65.1194497438,tap,lalt
3,81,65.8360020303,stimulus,
3,81,65.9194501792,tap,lalt
3,82,66.5860370192,stimulus,
3,82,66.6394509754,tap,rctrl
3,82,67.3113747947,tap,lalt
3,83,67.3360343756,stimulus,
3,83,67.9993618018,tap,rctrl
3,84,68.0860833601,stimulus,
3,84,68.7833531656,tap,rctrl
3,85,68.8361183491,stimulus,
3,85,69.5833396054,tap,lalt
3,86,69.5861150834,stimulus,
3,87,70.3361391869,stimulus,
3,87,70.3992834888,tap,lalt
3,88,71.0861418305,stimulus,
3,88,71.1352902465,tap,lalt
3,89,71.8361889490,stimulus,
3,89,71.8872762185,tap,lalt
3,90,77.9246176564,probe1,0
3,91,78.6894587196,stimulus,
3,91,78.9910919721,tap,rctrl
3,92,79.4394063139,stimulus,
3,92,79.5671165570,tap,rctrl
3,93,80.1893660378,stimulus,
3,93,80.3030598681,tap,rctrl
3,94,80.9394007157,stimulus,
3,94,80.9429854490,tap,rctrl
3,95,81.6894027373,stimulus,
3,95,81.7269755687,tap,lalt
3,96,82.4394234196,stimulus,
3,96,82.5589869941,tap,lalt
3,97,83.1894257522,stimulus,
3,97,83.3269512475,tap,lalt
3,98,83.9395552891,stimulus,
3,98,84.0152212763,tap,lalt
3,98,84.6868975294,tap,lalt
3,99,84.6894863997,stimulus,
3,99,85.4228610563,tap,rctrl
3,100,85.4394706936,stimulus,
3,101,86.1895084816,stimulus,
3,101,86.2228493622,tap,rctrl
3,102,86.9395384944,stimulus,
3,102,86.9428398950,tap,rctrl
3,103,87.6895629089,stimulus,
3,103,87.6948118715,tap,lalt
3,104,88.4395453366,stimulus,
3,104,88.5428084205,tap,lalt
3,105,89.1896033405,stimulus,
3,105,89.2787952734,tap,lalt
3,105,89.8867288360,tap,lalt
3,106,89.9396262000,stimulus,
3,106,90.6867339367,tap,lalt
3,107,90.6896030295,stimulus,
3,107,91.3747085033,tap,lalt
3,108,91.4396709858,stimulus,
3,109,92.1896723854,stimulus,
3,109,92.2227193589,tap,lalt
3,109,92.7186684175,tap,rctrl
3,110,92.9397263461,stimulus,
3,110,93.1826957468,tap,rctrl
3,111,93.6897352099,stimulus,
3,111,93.8866790740,tap,rctrl
3,112,94.4397397196,stimulus,
3,112,94.5266733887,tap,lalt
3,113,95.1897647562,stimulus,
3,113,95.2306128631,tap,lalt
3,114,95.9397602465,stimulus,
3,114,96.0626603660,tap,lalt
3,115,96.6898897833,stimulus,
3,115,96.7986279360,tap,rctrl
3,116,97.4398964701,stimulus,
3,116,97.5505949363,tap,rctrl
3,117,98.1899162194,stimulus,
3,117,98.2544871368,tap,lalt
3,118,98.9399126427,stimulus,
3,118,99.0225163919,tap,rctrl
3,119,99.6899535409,stimulus,
3,119,99.8064791426,tap,lalt
3,120,100.4399568065,stimulus,
3,120,100.4785090172,tap,rctrl
3,121,101.1899815321,stimulus,
3,121,101.2304666871,tap,rctrl
3,122,101.9399742233,stimulus,
3,122,101.9824187588,tap,rctrl
3,123,102.6900057911,stimulus,
3,123,102.8464396190,tap,rctrl
3,124,103.4400180761,stimulus,
3,124,103.5823984808,tap,lalt
3,124,104.1423542796,tap,rctrl
3,125,104.1901264640,stimulus,
3,126,104.9400417130,stimulus,
3,126,104.9423435186,tap,rctrl
3,126,105.6303199513,tap,rctrl
3,127,109.4837785067,probe1,0
3,128,110.2493784410,stimulus,
3,128,110.6542147518,tap,rctrl
3,129,110.9993944581,stimulus,
3,129,111.1982333230,tap,rctrl
3,130,111.7492950895,stimulus,
3,130,111.8382192404,tap,rctrl
3,131,112.4993729982,stimulus,
3,131,112.5421335228,tap,rctrl
3,132,113.2493890154,stimulus,
3,132,113.2941303803,tap,rctrl
3,133,113.9993988123,stimulus,
3,133,114.0941105999,tap,lalt
3,134,114.7494095422,stimulus,
3,134,114.8141092190,tap,lalt
3,135,115.4994218272,stimulus,
3,135,115.6140723329,tap,lalt
3,136,116.2494316242,stimulus,
3,136,116.3500343047,tap,rctrl
3,137,116.9994482633,stimulus,
3,137,117.0540058135,tap,rctrl
3,137,117.7419813131,tap,rctrl
3,138,117.7494477968,stimulus,
3,139,118.4994641250,stimulus,
3,139,118.5579603409,tap,lalt
3,140,119.2495084443,stimulus,
3,140,119.2940056642,tap,rctrl
3,141,119.9994974034,stimulus,
3,141,120.0939690891,tap,lalt
3,142,120.7495333253,stimulus,
3,142,120.7979393538,tap,rctrl
3,143,121.4995253945,stimulus,
3,143,121.5338814208,tap,rctrl
3,144,122.2495411006,stimulus,
3,144,122.3179878593,tap,lalt
3,144,122.9738425815,tap,lalt
3,145,122.9995493425,stimulus,
3,146,123.7496110785,stimulus,
3,146,123.8218176706,tap,lalt
3,147,124.4996109230,stimulus,
3,147,124.5257910454,tap,lalt
3,148,125.2496539983,stimulus,
3,148,125.2777841708,tap,lalt
3,148,125.9977880771,tap,rctrl
3,149,125.9996889872,stimulus,
3,150,126.7496667498,stimulus,
3,150,126.7657374020,tap,rctrl
3,151,127.4996849441,stimulus,
3,151,127.5177224410,tap,rctrl
3,152,128.2496966070,stimulus,
3,152,128.3658116718,tap,rctrl
3,153,128.9997536779,stimulus,
3,153,129.1177108713,tap,rctrl
3,154,129.7498175910,stimulus,
3,154,129.8217100602,tap,rctrl
3,155,130.4998183685,stimulus,
3,155,130.5257207566,tap,rctrl
3,155,131.2136119718,tap,rctrl
3,156,131.2497958201,stimulus,
3,156,131.9496159303,tap,rctrl
3,157,131.9998025069,stimulus,
3,157,132.6695890464,tap,rctrl
3,158,132.7499000094,stimulus,
3,158,133.3735244776,tap,lalt
3,159,133.4998871024,stimulus,
3,159,134.1095293692,tap,rctrl
3,160,134.2499877150,stimulus,
3,160,134.8935117137,tap,lalt
3,161,134.9999468168,stimulus,
3,161,135.6455269210,tap,rctrl
3,162,141.0091170285,probe1,0
3,163,141.7742837220,stimulus,
3,163,142.0933563939,tap,rctrl
3,164,142.5241803103,stimulus,
3,164,142.7173388378,tap,rctrl
3,165,143.2741431443,stimulus,
3,165,143.3093756045,tap,rctrl
3,165,144.0132724702,tap,rctrl
3,166,144.0242114116,stimulus,
3,166,144.7332530506,tap,rctrl
3,167,144.7741782887,stimulus,
3,167,145.4852234720,tap,rctrl
3,168,145.5241924398,stimulus,
3,169,146.2742389362,stimulus,
3,169,146.3171953988,tap,lalt
3,170,147.0242885427,stimulus,
3,170,147.0531950031,tap,rctrl
3,170,147.7731684302,tap,lalt
3,171,147.7743138903,stimulus,
3,171,148.4131695872,tap,rctrl
3,172,148.5243411039,stimulus,
