# {'date': u'2017_apr_06_1140', 'frameRate': 59.144727644664769, 'expName': 'pilot4', u'participant': u'9'}
subj,trial,time,stimulus,response
9,0,0.0014689266,stimulus,
9,0,0.4450163330,tap,rctrl
9,1,0.7505754566,stimulus,
9,1,0.8129745126,tap,lalt
9,2,1.5006731932,stimulus,
9,2,1.5330309433,tap,lalt
9,3,2.2506297288,stimulus,
9,3,2.3329648835,tap,lalt
9,4,3.0005915516,stimulus,
9,4,3.0850126879,tap,rctrl
9,5,3.7506662731,stimulus,
9,5,3.8209763215,tap,lalt
9,6,4.5006029037,stimulus,
9,6,4.6369331624,tap,lalt
9,7,5.2506238195,stimulus,
9,7,5.2929023445,tap,rctrl
9,7,5.9968581206,tap,rctrl
9,8,6.0006304286,stimulus,
9,9,6.7507104373,stimulus,
9,9,6.8289473398,tap,lalt
9,9,7.5008526492,tap,rctrl
9,10,7.5014976955,stimulus,
9,10,8.2368707105,tap,lalt
9,11,8.2513836306,stimulus,
9,12,9.0014179200,stimulus,
9,12,9.0208604370,tap,lalt
9,13,9.7514130215,stimulus,
9,13,9.7727909885,tap,lalt
9,14,10.5014199416,stimulus,
9,14,10.5727977064,tap,lalt
9,15,11.2514476998,stimulus,
9,15,11.3408211371,tap,lalt
9,16,12.0014511987,stimulus,
9,16,12.0927790580,tap,lalt
9,17,12.7514854882,stimulus,
9,17,12.8288241776,tap,lalt
9,18,13.5015008057,stimulus,
9,18,13.5647408478,tap,lalt
9,19,14.2515546891,stimulus,
9,19,14.3327232244,tap,lalt
9,19,14.9726987413,tap,rctrl
9,20,15.0015479245,stimulus,
9,21,15.7515554667,stimulus,
9,21,15.8047294895,tap,lalt
9,22,16.5016174365,stimulus,
9,22,16.5406999654,tap,rctrl
9,23,17.2516094279,stimulus,
9,23,17.2926737481,tap,lalt
9,24,18.0016197691,stimulus,
9,24,18.0770037257,tap,lalt
9,25,18.7517218600,stimulus,
9,25,18.8126787368,tap,rctrl
9,26,19.5017098082,stimulus,
9,26,19.6286623251,tap,lalt
9,27,20.2517888839,stimulus,
9,27,20.3646377773,tap,lalt
9,28,21.0017917608,stimulus,
9,28,21.0846994952,tap,rctrl
9,29,21.7518568408,stimulus,
9,29,21.8526467270,tap,rctrl
9,30,22.5018124433,stimulus,
9,30,22.5726173174,tap,rctrl
9,31,23.2519254197,stimulus,
9,31,23.2765712274,tap,rctrl
9,32,24.0018704477,stimulus,
9,32,24.0125317508,tap,rctrl
9,33,24.7520415840,stimulus,
9,33,24.8125154536,tap,rctrl
9,34,25.5019632859,stimulus,
9,34,25.5485288496,tap,rctrl
9,35,26.2520302320,stimulus,
9,35,26.3485598268,tap,rctrl
9,36,27.0020197352,stimulus,
9,36,27.0685450349,tap,rctrl
9,37,27.7520854372,stimulus,
9,37,27.7884879449,tap,lalt
9,38,28.5021984136,stimulus,
9,38,28.5245053841,tap,rctrl
9,39,29.2521621026,stimulus,
9,39,29.3244710480,tap,lalt
9,40,30.0021556490,stimulus,
9,40,30.0924403620,tap,rctrl
9,41,30.7521952257,stimulus,
9,41,30.8284326090,tap,rctrl
9,42,31.5022662150,stimulus,
9,42,31.5324188646,tap,lalt
9,42,32.2364023210,tap,rctrl
9,43,32.2522973943,stimulus,
9,43,32.9563800648,tap,lalt
9,44,36.2300261906,probe1,1
9,45,36.9960429488,stimulus,
9,45,37.3883474280,tap,rctrl
9,46,37.7454455656,stimulus,
9,46,37.9163259232,tap,lalt
